symbol,source,side,size_bucket,days,events,notional_sum,notional_p50,notional_max,spread_bps_at_event_mean,mid_ret_before_5s_bps,mid_ret_after_5s_bps,signed_mid_ret_after_5s_bps,mid_ret_before_30s_bps,mid_ret_after_30s_bps,signed_mid_ret_after_30s_bps,mid_ret_before_120s_bps,mid_ret_after_120s_bps,signed_mid_ret_after_120s_bps,mid_ret_before_300s_bps,mid_ret_after_300s_bps,signed_mid_ret_after_300s_bps,trade_notional_before_1s,trade_notional_after_1s,signed_trade_notional_before_1s,signed_trade_notional_after_1s,trade_notional_before_5s,trade_notional_after_5s,signed_trade_notional_before_5s,signed_trade_notional_after_5s,trade_notional_before_30s,trade_notional_after_30s,signed_trade_notional_before_30s,signed_trade_notional_after_30s
btcusdt,binance,buy,00_<1k,179,47487.0,19382198.61276,334.8308146772801,982.0956796306357,0.029051549294863078,3.7302045739901217,0.06018874897731437,0.06018874897731437,10.433500045542464,-0.11168179764451698,-0.11168179764451698,18.243189544778712,-0.5434632722641615,-0.5434632722641615,24.038961879531417,-1.0246550936762842,-1.0246550936762842,1164096.1633912756,937161.6855221543,430591.6094138775,285999.4941096328,5489752.562608273,4119241.227095933,2657496.4574402627,1107140.021750536,18749284.352865603,18644984.96051431,6914630.081106822,3341478.1602384993
btcusdt,binance,buy,01_1k_10k,179,40448.0,138367226.68881,2613.3423113800436,9872.55009951444,0.03285140458223901,4.047702336907193,0.08428691867085907,0.08428691867085907,11.535554911556197,-0.0946588996442168,-0.0946588996442168,19.914321813184348,-0.6041361971386544,-0.6041361971386544,25.84556306975812,-0.9585269150022121,-0.9585269150022121,1302302.4923127342,1097572.7439859502,482046.1350646337,347608.8141380781,6211487.912868095,4722043.363129219,2995521.642468388,1305815.6340942425,21547889.429372746,21058284.173889022,7921218.043665558,3867571.094749372
btcusdt,binance,buy,02_10k_100k,179,14808.0,437267007.8251,21476.74903441585,93336.9768575466,0.03389185320747768,4.510927833075154,0.1352075904855165,0.1352075904855165,12.73530024741901,-0.067346218906752,-0.067346218906752,21.824358364478684,-0.5802659964517057,-0.5802659964517057,28.496909536733824,-1.4054279292701104,-1.4054279292701104,1533135.3695752076,1261108.8628824807,591232.0761145089,401712.031570065,7414090.681878536,5433727.51255882,3632085.6779966005,1523465.7116977985,25200432.21361371,23941828.726076387,9608044.5676698,4388132.3668806655
btcusdt,binance,buy,03_100k_1m,177,2360.0,526323289.09274995,182209.51395301698,577156.3000045085,0.03662258631211323,4.966740749882512,0.237677419038777,0.237677419038777,13.679051096517648,-0.38354207383523,-0.38354207383523,22.61216150386108,-0.6896892912230642,-0.6896892912230642,29.99037254369249,-1.971857303576092,-1.971857303576092,2069555.2046135466,1725216.6421259318,977173.2709380377,603828.669744903,9938680.616958339,6842859.767218868,5230273.900747117,1992465.6348869954,30340649.5016948,27228056.338302728,12558083.021106182,4771013.3455958925
btcusdt,binance,buy,04_>1m,49,83.0,259998599.75813997,2657527.2922171084,5517636.482261807,0.015230731161675597,5.164392831460454,0.7805996456753608,0.7805996456753608,17.35647425832753,-0.703506351732921,-0.703506351732921,33.231499499756644,-2.0106929623880063,-2.0106929623880063,47.08347773387847,-6.784496951979877,-6.784496951979877,6149782.7109955475,3492755.2750603002,4084844.069271068,1367162.3411469494,21257752.305229686,11056159.458934423,12230383.644071864,3075080.9897737224,53120306.57724412,40268852.74963119,23792449.820368346,5003260.279158572
btcusdt,binance,sell,00_<1k,179,64499.0,25545711.1725,321.5606669244484,985.033244369525,0.029853274458179396,-2.9382662068032945,0.04796292308736436,-0.04796292308736436,-9.24291755589594,0.26089342544634503,-0.26089342544634503,-17.214091273742767,0.29045228951876095,-0.29045228951876095,-24.521076605581698,0.260277934749104,-0.260277934749104,1100291.1923004228,1011564.7208156864,-380535.77099060634,-330285.2765584633,5441918.257853626,4493301.392170116,-2490601.447438152,-1236603.78557177,19711777.28331856,20245145.83302727,-7227074.394988224,-3735339.81109095
btcusdt,binance,sell,01_1k_10k,179,48036.0,164220506.07029003,2577.3204052849946,9915.97702027646,0.03589172604251647,-3.2960882305308647,-0.015457929881908994,0.015457929881908994,-10.26693682338713,0.18459065654568563,-0.18459065654568563,-19.12372248023808,0.2851648594287952,-0.2851648594287952,-27.146682563062758,0.2777220282883748,-0.2777220282883748,1255388.658407281,1139861.1055832016,-448512.63364583626,-357453.23354615865,6227437.099313589,5085165.914036862,-2898996.5856299293,-1421091.4568434733,22110213.99749657,22853850.636782557,-8306596.986981104,-4360532.221833898
btcusdt,binance,sell,02_10k_100k,179,15881.0,479799585.07843995,21794.58539207355,95399.05060379383,0.035809383726440935,-3.5957699654134507,-0.02273392591821248,0.02273392591821248,-11.449292098801667,0.15446661270339102,-0.15446661270339102,-21.01185637948218,0.1647719485116726,-0.1647719485116726,-29.5068631810363,-0.07374722354196105,0.07374722354196105,1528485.670369553,1279832.6393309683,-592915.2897056772,-409867.39151820674,7189020.463327628,5745807.658503608,-3336346.217732336,-1629160.2344463149,25241746.719106093,25689749.27321099,-9604626.247795144,-4970528.496973013
btcusdt,binance,sell,03_100k_1m,176,2354.0,540363716.74168,184536.7954501912,627175.5254986448,0.03404897682636303,-4.1970888140541085,-0.1898954918942603,0.1898954918942603,-12.268369856179913,-0.31789862219514253,0.31789862219514253,-22.641760956398382,0.41093643626998005,-0.41093643626998005,-31.923377750753346,0.3936351350418441,-0.3936351350418441,1965111.430960891,1556731.8435162732,-825574.657137893,-586633.2542534363,9064629.97627433,6780460.550081472,-4373431.431690483,-1958360.0086673284,28519736.055623185,28872920.01802956,-11183994.04055054,-5814636.399163641
btcusdt,binance,sell,04_>1m,60,111.0,350510823.04638004,2752294.547341802,5167509.612180182,0.09446980338384475,-3.2321682225903725,-1.6500112377527054,1.6500112377527054,-14.559703763347255,-2.562334400658239,2.562334400658239,-27.41079268952505,0.7961619624070406,-0.7961619624070406,-45.181168364237536,1.3583012818488756,-1.3583012818488756,6535566.376064438,4670826.926740769,-4631306.755926061,-1877234.716446847,18615943.1376985,14393137.902762989,-9438951.569776658,-4395956.367118233,53976622.10971239,56643417.17717498,-21566226.294837035,-10589572.34164559
btcusdt,bybit,buy,00_<1k,179,75393.0,27943310.4973,289.3149810274163,983.9105408207658,0.10826181121596573,9.4208819545996,0.29038895010408683,0.29038895010408683,20.505550566057327,-0.11744739604917703,-0.11744739604917703,33.844668454049675,-1.404199535795666,-1.404199535795666,46.507392536743744,-2.8153267936722255,-2.8153267936722255,5104566.727447302,3791256.520911146,2430552.005771822,1390449.860230381,19628284.57219422,14200418.720447212,11226845.167804653,4558001.281034566,48774378.653651185,49482195.735070705,22315580.094567787,10369122.685165608
btcusdt,bybit,buy,01_1k_10k,179,59688.0,210124704.3833,2747.30444088594,9905.960796287362,0.11921341575435707,9.931794402756358,0.39820724933983964,0.39820724933983964,22.04758414815134,0.06543285277495627,0.06543285277495627,36.42383729065407,-1.6467554119658576,-1.6467554119658576,49.78514413858713,-2.667318917594773,-2.667318917594773,5507416.740578913,4147531.1002372093,2602833.7439625068,1552348.033097054,21483889.62351133,15892303.813238231,12207161.977550773,5179298.518743423,54922517.87238407,55704187.62142678,25108568.826685585,12004111.601215689
btcusdt,bybit,buy,02_10k_100k,179,20182.0,585619534.6418002,21152.814444430678,95477.52376263501,0.14269977761071267,10.78384104834596,0.6370806379058489,0.6370806379058489,24.436733008219687,0.45388558645381333,0.45388558645381333,39.954860871028146,-1.628171762674619,-1.628171762674619,53.750469449246864,-2.9667699195324695,-2.9667699195324695,5890977.335261881,4617881.472821359,2774286.5771563277,1720354.8985459544,23449970.627419572,17787989.646363273,13237470.871380972,5767743.940022994,62129121.00726217,63000174.280983455,28559515.801573902,13641969.893592125
btcusdt,bybit,buy,03_100k_1m,168,2900.0,751598699.5992,194419.27520310343,784026.3739955171,0.14302581931499345,10.961656006504686,0.48705517193671494,0.48705517193671494,25.70314972903406,0.6287709727547242,0.6287709727547242,41.756913575236766,-1.1537911483663508,-1.1537911483663508,56.070736510208995,-2.8276449970982793,-2.8276449970982793,5864452.188218793,4867744.12346844,2702063.371805012,1777843.5917251818,24783031.352947947,19086780.42114398,13736242.516532388,6091389.25908839,68228121.3913356,67733032.74145411,31400611.914808806,14822546.486810638
btcusdt,bybit,buy,04_>1m,103,264.0,435135224.28360015,1641697.7906079548,2108340.333337121,0.2105646203235961,12.045386082136224,1.588301122310162,1.588301122310162,28.808285167397518,-0.829954762646521,-0.829954762646521,43.36800970724373,-4.203128183805559,-4.203128183805559,62.72693372688957,-5.3996873155227565,-5.3996873155227565,6250812.965382126,5238821.312752561,2798981.9089465598,2147196.809061706,27115907.421810634,21649087.97060276,14316739.255957441,7051163.176999828,79480269.28208145,73349716.5166937,36506374.99026386,15420451.244303113
btcusdt,bybit,sell,00_<1k,179,135060.0,49707630.0448,289.2518850488671,989.7949767244187,0.21640669479308433,-10.543706541605063,0.3293329192245444,-0.3293329192245444,-23.017170037298147,2.007551675853316,-2.007551675853316,-38.4549396245751,3.8644050211389174,-3.8644050211389174,-55.744117070363686,3.893554671185061,-3.893554671185061,5600733.747983903,4966339.389285117,-2682941.5887414576,-2153124.928569346,23187187.156931262,20894747.769974224,-13597966.42164126,-7749733.6267775735,60314796.69248093,67845494.61220387,-28550593.098049268,-16163895.826597616
btcusdt,bybit,sell,01_1k_10k,179,105265.0,375080862.56439996,2746.0931927098272,9957.147635990119,0.25307358217091774,-11.350887050499876,0.3564851316802056,-0.3564851316802056,-25.038123333600172,2.306673959139569,-2.306673959139569,-41.453489645053565,4.9911709811496845,-4.9911709811496845,-59.8202979267025,5.01145219350225,-5.01145219350225,6004121.05115559,5451873.789230234,-2898629.532756046,-2401179.9449487412,25558655.055067495,23260943.885978,-15104373.511251822,-8797569.491637655,67080070.72873443,75486558.26698987,-32153658.31877268,-18296053.156817015
btcusdt,bybit,sell,02_10k_100k,179,34213.0,1001491592.6011999,21049.023188828807,97643.56442399965,0.2718852069070833,-11.959136390902062,0.4072253933286516,-0.4072253933286516,-26.76105678095909,2.4805314550851665,-2.4805314550851665,-43.98318975550166,5.5742972387234815,-5.5742972387234815,-62.924175259516716,5.760808384481363,-5.760808384481363,6385662.768963518,5846877.582167107,-3060148.9699876243,-2550918.829824572,27450311.380559184,25255649.88635621,-16024885.809836917,-9500625.57604523,73287759.31631343,81898506.9640614,-35222281.31348128,-20016264.93489735
btcusdt,bybit,sell,03_100k_1m,170,4779.0,1253431010.0769,191176.66467681524,848353.5298331031,0.27517454614294284,-12.284032592356237,0.1392547766341882,-0.1392547766341882,-27.504427536134422,1.9983037072224619,-1.9983037072224619,-44.25812794009109,5.981754411715428,-5.981754411715428,-62.99033031947892,6.468238400445321,-6.468238400445321,6677866.338384546,5991210.089685451,-3198813.131146579,-2652551.3499893174,28417605.45718055,25774946.37771296,-16770276.648490367,-9835080.563616736,75568886.52859336,85017420.89212783,-36635701.244290374,-21179873.07740786
btcusdt,bybit,sell,04_>1m,112,472.0,774443425.3413,1681450.9292239405,2203190.3615991524,0.2859286959865773,-12.362688511097707,0.32613507494067145,-0.32613507494067145,-27.631049490021347,1.616003272318478,-1.616003272318478,-45.853852601121915,6.207770748712227,-6.207770748712227,-64.64316763845197,3.9316421457543793,-3.9316421457543793,6465544.427483693,5719265.402556917,-3084994.0147136156,-2511053.1100540273,28544853.993272144,25170751.402671155,-16700619.355029507,-9546130.541272687,76733214.41891217,82587139.76493773,-37107152.44843676,-20182512.41097574
ethusdt,binance,buy,00_<1k,179,65228.0,19021245.829099998,193.14249527610846,992.5557082619429,0.07400308713738074,5.656758086739693,0.06756154467596724,0.06756154467596724,14.883392819969071,-0.0779599307307458,-0.0779599307307458,24.1056110585944,-0.18297694737196993,-0.18297694737196993,29.871965549038084,-0.5938014128200227,-0.5938014128200227,1061061.192467222,891348.6310074484,370129.21529210405,261449.001285336,5058523.7104677325,3842005.424009056,2292119.6987226875,982473.6970330332,16738650.504934061,16966091.641102646,5564451.70748805,2781022.5170218553
ethusdt,binance,buy,01_1k_10k,179,40384.0,136118139.14859,2589.371684868017,9849.96735337312,0.07706511155999148,6.22069637838219,0.0917822189578315,0.0917822189578315,16.678162811725148,-0.02528494208866392,-0.02528494208866392,27.038664249053284,-0.346853040894594,-0.346853040894594,33.744231124360276,-0.8591052195655945,-0.8591052195655945,1217245.798247195,1042184.4018582746,417864.037633399,323363.3628537135,5844572.154070828,4502485.536603935,2599173.986079512,1159650.6152308085,19952861.1507477,19762792.028838277,6558705.034294417,3175371.889212864
ethusdt,binance,buy,02_10k_100k,179,13773.0,399083529.69304,21003.511578490525,92885.40300033907,0.08416040444015087,6.778772262310251,0.19245289050218228,0.19245289050218228,18.394303759050757,-0.038817484363772255,-0.038817484363772255,29.268942139909246,-0.3931246255398539,-0.3931246255398539,35.74254161672928,-0.7858204469061186,-0.7858204469061186,1397511.4824917715,1186589.13725605,480723.3178472041,339680.13861358544,6778289.113742255,5114682.449262002,2998102.5868411963,1312386.0283186221,22469493.42823801,21926935.525167935,7616144.559106405,3550956.885646138
ethusdt,binance,buy,03_100k_1m,175,2143.0,494885063.08239985,179456.52555832945,645419.1144932618,0.06849845838673763,7.780411596398295,0.4503090901099677,0.4503090901099677,20.693533322121674,-0.09212328073216444,-0.09212328073216444,32.873233580703435,-1.3037889908155231,-1.3037889908155231,42.01940372270345,-3.0068788856432773,-3.0068788856432773,1834215.1135030547,1443287.256998461,787185.4801062947,423993.8398778246,9125435.852220753,5998653.552742542,4340523.252986326,1524005.1993151996,27589841.644289438,25133220.967384998,9982498.434484506,3876717.845111974
ethusdt,binance,buy,04_>1m,50,86.0,245403200.4054,2512627.893763372,4918681.977213256,0.06609362694789545,9.43103997922374,2.9466838001910887,2.9466838001910887,28.14536359365335,4.720539541367092,4.720539541367092,49.85287930067426,13.456310279491676,13.456310279491676,70.60045199499928,12.627907535761377,12.627907535761377,6147948.766630021,5075401.654605127,3868657.5742962062,922581.5222953523,18712273.573065963,13497976.952204466,9283618.465627564,3254113.9490206754,54804612.40096648,47751600.53664336,21751584.818891995,8919352.986638578
