rule,horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
baseline_and_return5s_gt_20,30,7,0.03781128248772943,20.488644079854748,-0.08032926661363055,20.450832797367017,260947081.0899743,True,572056,223097438,318027088719.6707,1826629567.62982,316200459152.04083
baseline_and_return5s_gt_20,120,7,0.06360578509812853,34.04614823049616,-0.1327048622059988,33.98254244539803,260947081.0899743,True,572056,223097438,318027088719.6707,1826629567.62982,316200459152.04083
baseline_and_return5s_gt_20,300,7,0.05828913094104039,33.05774162568943,-0.1323423937700583,32.99945249474839,260947081.0899743,True,572056,223097438,318027088719.6707,1826629567.62982,316200459152.04083
baseline_liq1s_d200_gt_100k,30,7,0.03781128248772943,9.578282838616376,-0.11252415104621541,9.540471556128647,704802578.2020729,True,1532044,222137450,318027088719.6707,4933618047.41451,313093470672.25616
baseline_liq1s_d200_gt_100k,120,7,0.06360578509812853,14.815871537542417,-0.1688552892265476,14.75226575244429,704802578.2020729,True,1532044,222137450,318027088719.6707,4933618047.41451,313093470672.25616
baseline_liq1s_d200_gt_100k,300,7,0.05828913094104039,13.81600232767432,-0.15850013001933078,13.757713196733281,704802578.2020729,True,1532044,222137450,318027088719.6707,4933618047.41451,313093470672.25616
baseline_or_return5s_gt_50,30,7,0.03781128248772943,18.457997523436315,-0.33588499151735385,18.420186240948585,903375553.1328843,True,2101558,221567936,318027088719.6707,6323628871.93019,311703459847.7405
baseline_or_return5s_gt_50,120,7,0.06360578509812853,21.878412480786086,-0.3789582516431158,21.814806695687956,903375553.1328843,True,2101558,221567936,318027088719.6707,6323628871.93019,311703459847.7405
baseline_or_return5s_gt_50,300,7,0.05828913094104039,21.591705392112758,-0.37856624707417924,21.533416261171716,903375553.1328843,True,2101558,221567936,318027088719.6707,6323628871.93019,311703459847.7405
bybit5s_d0_gt_2m,30,7,0.03781128248772943,13.131268054292805,-0.007180877934348526,13.093456771805076,155581811.47834998,True,276798,223392696,318027088719.6707,1089072680.34845,316938016039.3222
bybit5s_d0_gt_2m,120,7,0.06360578509812853,24.30128538304039,-0.01968051490156261,24.23767959794226,155581811.47834998,True,276798,223392696,318027088719.6707,1089072680.34845,316938016039.3222
bybit5s_d0_gt_2m,300,7,0.05828913094104039,15.614863252210741,0.004833126871183144,15.556574121269701,155581811.47834998,True,276798,223392696,318027088719.6707,1089072680.34845,316938016039.3222
bybit5s_d200_gt_2m,30,7,0.03781128248772943,13.916385729159751,-0.00870661003006905,13.878574446672022,151770729.2137143,True,272189,223397305,318027088719.6707,1062395104.496,316964693615.1747
bybit5s_d200_gt_2m,120,7,0.06360578509812853,25.09836632796937,-0.020305160123004182,25.03476054287124,151770729.2137143,True,272189,223397305,318027088719.6707,1062395104.496,316964693615.1747
bybit5s_d200_gt_2m,300,7,0.05828913094104039,16.103921087755673,0.004507743982652899,16.04563195681463,151770729.2137143,True,272189,223397305,318027088719.6707,1062395104.496,316964693615.1747
bybit5s_or_return5s_gt_50,30,7,0.03781128248772943,36.5608102114752,-0.2745788266258788,36.52299892898747,385299182.3529072,True,928973,222740521,318027088719.6707,2697094276.4703503,315329994443.2003
bybit5s_or_return5s_gt_50,120,7,0.06360578509812853,40.524411822804225,-0.282465347711062,40.4608060377061,385299182.3529072,True,928973,222740521,318027088719.6707,2697094276.4703503,315329994443.2003
bybit5s_or_return5s_gt_50,300,7,0.05828913094104039,39.222219192457835,-0.2766895056441599,39.163930061516794,385299182.3529072,True,928973,222740521,318027088719.6707,2697094276.4703503,315329994443.2003
horizon_specific_bybit_return,30,7,0.03781128248772943,50.656672683957204,-0.23352078501096588,50.61886140146947,242232881.70866996,True,674834,222994660,318027088719.6707,1695630171.9606898,316331458547.71
horizon_specific_bybit_return,120,7,0.06360578509812853,25.09836632796937,-0.020305160123004182,25.03476054287124,151770729.2137143,True,272189,223397305,318027088719.6707,1062395104.496,316964693615.1747
horizon_specific_bybit_return,300,7,0.05828913094104039,18.329266797546936,0.02964214368093855,18.270977666605894,71121817.53329001,True,123649,223545845,318027088719.6707,497852722.7330301,317529235996.9376
horizon_specific_return_liq,30,7,0.03781128248772943,50.656672683957204,-0.23352078501096588,50.61886140146947,242232881.70866996,True,674834,222994660,318027088719.6707,1695630171.9606898,316331458547.71
horizon_specific_return_liq,120,7,0.06360578509812853,52.437227292429675,-0.2171323155333857,52.37362150733155,242232881.70866996,True,674834,222994660,318027088719.6707,1695630171.9606898,316331458547.71
horizon_specific_return_liq,300,7,0.05828913094104039,18.329266797546936,0.02964214368093855,18.270977666605894,71121817.53329001,True,123649,223545845,318027088719.6707,497852722.7330301,317529235996.9376
liq2s_and_return5s_gt_20,30,7,0.03781128248772943,20.203723796890472,0.023868954409402933,20.16591251440274,31389423.07518143,True,52715,223616779,318027088719.6707,219725961.52627,317807362758.1444
liq2s_and_return5s_gt_20,120,7,0.06360578509812853,42.92839408419292,0.03396988634833713,42.86478829909479,31389423.07518143,True,52715,223616779,318027088719.6707,219725961.52627,317807362758.1444
liq2s_and_return5s_gt_20,300,7,0.05828913094104039,30.754372551853333,0.037066443127217207,30.69608342091229,31389423.07518143,True,52715,223616779,318027088719.6707,219725961.52627,317807362758.1444
liq2s_d0_gt_2m,30,7,0.03781128248772943,15.18989786406124,0.014434371844430168,15.152086581573512,69986008.65480143,True,120299,223549195,318027088719.6707,489902060.58361,317537186659.0871
liq2s_d0_gt_2m,120,7,0.06360578509812853,26.5426946510581,0.02275337239555766,26.47908886595997,69986008.65480143,True,120299,223549195,318027088719.6707,489902060.58361,317537186659.0871
liq2s_d0_gt_2m,300,7,0.05828913094104039,16.00973777242663,0.0336789501903136,15.95144864148559,69986008.65480143,True,120299,223549195,318027088719.6707,489902060.58361,317537186659.0871
liq2s_d200_gt_1m,30,7,0.03781128248772943,11.7998142279766,-0.009257936249813175,11.762002945488872,181087005.40005141,True,334496,223334998,318027088719.6707,1267609037.80036,316759479681.8703
liq2s_d200_gt_1m,120,7,0.06360578509812853,21.465140676878246,-0.022038941553355885,21.401534891780116,181087005.40005141,True,334496,223334998,318027088719.6707,1267609037.80036,316759479681.8703
liq2s_d200_gt_1m,300,7,0.05828913094104039,20.055434415183296,-0.02173550515815557,19.997145284242254,181087005.40005141,True,334496,223334998,318027088719.6707,1267609037.80036,316759479681.8703
liq2s_d200_gt_2m,30,7,0.03781128248772943,15.462491364641254,0.013626992962149745,15.424680082153525,71121817.53329001,True,123649,223545845,318027088719.6707,497852722.7330301,317529235996.9376
liq2s_d200_gt_2m,120,7,0.06360578509812853,26.75527054735288,0.021756038776520648,26.69166476225475,71121817.53329001,True,123649,223545845,318027088719.6707,497852722.7330301,317529235996.9376
liq2s_d200_gt_2m,300,7,0.05828913094104039,18.329266797546936,0.02964214368093855,18.270977666605894,71121817.53329001,True,123649,223545845,318027088719.6707,497852722.7330301,317529235996.9376
liq2s_or_return5s_gt_50,30,7,0.03781128248772943,43.248277057928185,-0.25899822937352057,43.210465775440454,309943121.4605886,True,790126,222879368,318027088719.6707,2169601850.22412,315857486869.44653
liq2s_or_return5s_gt_50,120,7,0.06360578509812853,45.97030533007921,-0.2517239582542623,45.90669954498109,309943121.4605886,True,790126,222879368,318027088719.6707,2169601850.22412,315857486869.44653
liq2s_or_return5s_gt_50,300,7,0.05828913094104039,46.62122129353234,-0.2615482260046068,46.562932162591295,309943121.4605886,True,790126,222879368,318027088719.6707,2169601850.22412,315857486869.44653
neg_return30s_gt_50,30,7,0.03781128248772943,-12.097257246565228,0.31804846022967687,-12.135068529052957,1025497028.6913258,True,3839858,219829636,318027088719.6707,7178479200.83928,310848609518.8314
neg_return30s_gt_50,120,7,0.06360578509812853,-17.968485632274398,0.480023903833189,-18.032091417372527,1025497028.6913258,True,3839858,219829636,318027088719.6707,7178479200.83928,310848609518.8314
neg_return30s_gt_50,300,7,0.05828913094104039,-16.296468245987462,0.4359722926794291,-16.354757376928504,1025497028.6913258,True,3839858,219829636,318027088719.6707,7178479200.83928,310848609518.8314
