variant,horizon_s,symbol,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
baseline_liq,30,btcusdt,90,-0.13395581871784798,3.1881894652021994,-0.1878486519286758,3.3221452839200474,19564786.701583333,True,349018,39841279,110304683481.2332,1760830803.1425,108543852678.0907
baseline_liq,30,ethusdt,90,0.037604736675293744,7.649502591335932,-0.07136126808153402,7.611897854660638,16098875.544759555,True,445839,70142238,102662756135.1466,1448898799.02836,101213857336.11826
baseline_liq,120,btcusdt,90,-0.05651229912538141,6.585784430310739,-0.164265620904834,6.64229672943612,19564786.701583333,True,349018,39841279,110304683481.2332,1760830803.1425,108543852678.0907
baseline_liq,120,ethusdt,90,0.10954968389910831,17.52119442260719,-0.13970186934665532,17.411644738708084,16098875.544759555,True,445839,70142238,102662756135.1466,1448898799.02836,101213857336.11826
baseline_liq,300,btcusdt,90,-0.022735974375751172,6.464409317248976,-0.12797238318307658,6.487145291624728,19564786.701583333,True,349018,39841279,110304683481.2332,1760830803.1425,108543852678.0907
baseline_liq,300,ethusdt,90,0.19488446970022846,19.227002842090695,-0.07756452274501595,19.032118372390467,16098875.544759555,True,445839,70142238,102662756135.1466,1448898799.02836,101213857336.11826
bybit300_hybrid,30,btcusdt,90,-0.13395581871784798,17.082464012258534,-0.13843733337350722,17.21641983097638,318948.36892777774,False,6071,40184226,110304683481.2332,28705353.2035,110275978128.0297
bybit300_hybrid,30,ethusdt,90,0.037604736675293744,31.52704664834508,-0.07390058807029852,31.489441911669786,4025000.290334333,True,122297,70465780,102662756135.1466,362250026.13009,102300506109.01653
bybit300_hybrid,120,btcusdt,90,-0.05651229912538141,6.585784430310739,-0.164265620904834,6.64229672943612,19564786.701583333,True,349018,39841279,110304683481.2332,1760830803.1425,108543852678.0907
bybit300_hybrid,120,ethusdt,90,0.10954968389910831,17.52119442260719,-0.13970186934665532,17.411644738708084,16098875.544759555,True,445839,70142238,102662756135.1466,1448898799.02836,101213857336.11826
bybit300_hybrid,300,btcusdt,90,-0.022735974375751172,21.29026281549025,-0.12736648373202827,21.312998789866004,5987401.549642222,True,98883,40091414,110304683481.2332,538866139.4678,109765817341.7654
bybit300_hybrid,300,ethusdt,90,0.19488446970022846,57.08377683189088,0.07237506739778743,56.88889236219065,2451196.408589111,True,56874,70531203,102662756135.1466,220607676.77302,102442148458.3736
bybit_long_hybrid,30,btcusdt,90,-0.13395581871784798,17.082464012258534,-0.13843733337350722,17.21641983097638,318948.36892777774,False,6071,40184226,110304683481.2332,28705353.2035,110275978128.0297
bybit_long_hybrid,30,ethusdt,90,0.037604736675293744,31.52704664834508,-0.07390058807029852,31.489441911669786,4025000.290334333,True,122297,70465780,102662756135.1466,362250026.13009,102300506109.01653
bybit_long_hybrid,120,btcusdt,90,-0.05651229912538141,24.23817008403404,-0.17578059250170375,24.29468238315942,5987401.549642222,True,98883,40091414,110304683481.2332,538866139.4678,109765817341.7654
bybit_long_hybrid,120,ethusdt,90,0.10954968389910831,57.745131411118834,-0.01456770309097445,57.63558172721972,2451196.408589111,True,56874,70531203,102662756135.1466,220607676.77302,102442148458.3736
bybit_long_hybrid,300,btcusdt,90,-0.022735974375751172,21.29026281549025,-0.12736648373202827,21.312998789866004,5987401.549642222,True,98883,40091414,110304683481.2332,538866139.4678,109765817341.7654
bybit_long_hybrid,300,ethusdt,90,0.19488446970022846,57.08377683189088,0.07237506739778743,56.88889236219065,2451196.408589111,True,56874,70531203,102662756135.1466,220607676.77302,102442148458.3736
current_hybrid,30,btcusdt,90,-0.13395581871784798,17.082464012258534,-0.13843733337350722,17.21641983097638,318948.36892777774,False,6071,40184226,110304683481.2332,28705353.2035,110275978128.0297
current_hybrid,30,ethusdt,90,0.037604736675293744,31.52704664834508,-0.07390058807029852,31.489441911669786,4025000.290334333,True,122297,70465780,102662756135.1466,362250026.13009,102300506109.01653
current_hybrid,120,btcusdt,90,-0.05651229912538141,6.585784430310739,-0.164265620904834,6.64229672943612,19564786.701583333,True,349018,39841279,110304683481.2332,1760830803.1425,108543852678.0907
current_hybrid,120,ethusdt,90,0.10954968389910831,17.52119442260719,-0.13970186934665532,17.411644738708084,16098875.544759555,True,445839,70142238,102662756135.1466,1448898799.02836,101213857336.11826
