variant,horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
baseline_liq,30,90,-0.05125360145654897,5.202063539259026,-0.13164028919739124,5.253317140715574,35663662.24634289,True,794857,109983517,212967439616.37982,3209729602.17086,209757710014.20895
baseline_liq,120,90,0.02353928480346446,11.522120000137233,-0.15241293598716907,11.49858071533377,35663662.24634289,True,794857,109983517,212967439616.37982,3209729602.17086,209757710014.20895
baseline_liq,300,90,0.08216980192713616,12.225550822166916,-0.10364920576732761,12.14338102023978,35663662.24634289,True,794857,109983517,212967439616.37982,3209729602.17086,209757710014.20895
bybit300_hybrid,30,90,-0.05125360145654897,30.46647332370434,-0.10737960969893166,30.517726925160886,4343948.659262111,True,128368,110650006,212967439616.37982,390955379.33359003,212576484237.04623
bybit300_hybrid,120,90,0.02353928480346446,11.522120000137233,-0.15241293598716907,11.49858071533377,35663662.24634289,True,794857,109983517,212967439616.37982,3209729602.17086,209757710014.20895
bybit300_hybrid,300,90,0.08216980192713616,31.68736117733403,-0.030942423697364867,31.605191375406893,8438597.958231334,True,155757,110622617,212967439616.37982,759473816.24082,212207965800.13898
bybit_long_hybrid,30,90,-0.05125360145654897,30.46647332370434,-0.10737960969893166,30.517726925160886,4343948.659262111,True,128368,110650006,212967439616.37982,390955379.33359003,212576484237.04623
bybit_long_hybrid,120,90,0.02353928480346446,33.97108349858647,-0.09795601749978611,33.947544213783004,8438597.958231334,True,155757,110622617,212967439616.37982,759473816.24082,212207965800.13898
bybit_long_hybrid,300,90,0.08216980192713616,31.68736117733403,-0.030942423697364867,31.605191375406893,8438597.958231334,True,155757,110622617,212967439616.37982,759473816.24082,212207965800.13898
current_hybrid,30,90,-0.05125360145654897,30.46647332370434,-0.10737960969893166,30.517726925160886,4343948.659262111,True,128368,110650006,212967439616.37982,390955379.33359003,212576484237.04623
current_hybrid,120,90,0.02353928480346446,11.522120000137233,-0.15241293598716907,11.49858071533377,35663662.24634289,True,794857,109983517,212967439616.37982,3209729602.17086,209757710014.20895
