variant,horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
baseline_liq,30,179,-0.07537384096596127,3.622716794130904,-0.12628586457943136,3.6980906350968654,32037747.45668224,True,1428531,216020227,422289607535.303,5734756794.74612,416554850740.5569
baseline_liq,120,179,-0.02004662862560465,6.925663690577013,-0.11566905134642673,6.945710319202617,32037747.45668224,True,1428531,216020000,422289350518.8384,5734756794.74612,416554593724.0923
baseline_liq,300,179,0.035442690779452585,7.772681944398443,-0.07107724738423805,7.7372392536189905,32037747.45668224,True,1428531,216019362,422287621424.4843,5734756794.74612,416552864629.73816
current_hybrid,30,179,-0.07537384096596127,20.577626929575704,-0.1034003430600801,20.653000770541666,3197084.7833445813,True,172964,217275794,422289607535.303,572278176.21868,421717329359.0843
current_hybrid,120,179,-0.02004662862560465,6.925663690577013,-0.11566905134642673,6.945710319202617,32037747.45668224,True,1428531,216020000,422289350518.8384,5734756794.74612,416554593724.0923
current_hybrid,300,179,0.035442690779452585,7.772681944398443,-0.07107724738423805,7.7372392536189905,32037747.45668224,True,1428531,216019362,422287621424.4843,5734756794.74612,416552864629.73816
eth100_btc50_bybit_long,30,179,-0.07537384096596127,35.11721956320961,-0.08721765955010376,35.19259340417557,793691.4521906704,True,37049,217411709,422289607535.303,142070769.94213,422147536765.36084
eth100_btc50_bybit_long,120,179,-0.02004662862560465,19.31163950767714,-0.07807426994605772,19.331686136302743,7060258.754952793,True,256429,217192102,422289350518.8384,1263786317.13655,421025564201.70184
eth100_btc50_bybit_long,300,179,0.035442690779452585,18.642265674584756,-0.020409368727628354,18.606822983805305,7060258.754952793,True,256429,217191464,422287621424.4843,1263786317.13655,421023835107.3477
eth100_btc50_liq2_120_bybit300,30,179,-0.07537384096596127,35.11721956320961,-0.08721765955010376,35.19259340417557,793691.4521906704,True,37049,217411709,422289607535.303,142070769.94213,422147536765.36084
eth100_btc50_liq2_120_bybit300,120,179,-0.02004662862560465,18.44048915816894,-0.049181610777351926,18.460535786794544,3717428.9490907816,True,132984,217315547,422289350518.8384,665419781.88725,421623930736.9511
eth100_btc50_liq2_120_bybit300,300,179,0.035442690779452585,18.642265674584756,-0.020409368727628354,18.606822983805305,7060258.754952793,True,256429,217191464,422287621424.4843,1263786317.13655,421023835107.3477
ret5_all,30,179,-0.07537384096596127,20.577626929575704,-0.1034003430600801,20.653000770541666,3197084.7833445813,True,172964,217275794,422289607535.303,572278176.21868,421717329359.0843
ret5_all,120,179,-0.02004662862560465,30.007954664224513,-0.060795203777912366,30.028001292850117,3197084.7833445813,True,172964,217275567,422289350518.8384,572278176.21868,421717072342.6197
ret5_all,300,179,0.035442690779452585,32.12130188137465,-0.008098615634891896,32.085859190595194,3197084.7833445813,True,172964,217274929,422287621424.4843,572278176.21868,421715343248.2656
