variant,horizon_s,symbol,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
baseline_liq,30,btcusdt,179,-0.10882655642065976,2.3297406197331956,-0.14557862320454915,2.4385671761538554,18177035.123465363,True,646367,79757216,219141953301.80112,3253689287.1003,215888264014.7008
baseline_liq,30,ethusdt,179,-0.03928731348105265,5.318334794910554,-0.10552964285069126,5.357622108391607,13860712.333216872,True,782164,136263011,203147654233.5019,2481067507.64582,200666586725.85605
baseline_liq,120,btcusdt,179,-0.03653556779181465,4.10312608864827,-0.09892517160111977,4.139661656440084,18177035.123465363,True,646367,79757137,219141785402.404,3253689287.1003,215888096115.3037
baseline_liq,120,ethusdt,179,-0.002259481798598134,10.627159248248201,-0.13368304153847765,10.6294187300468,13860712.333216872,True,782164,136262863,203147565116.4344,2481067507.64582,200666497608.78854
baseline_liq,300,btcusdt,179,0.013362138568905356,4.430783755322955,-0.053213958938096204,4.41742161675405,18177035.123465363,True,646367,79756866,219140740785.2208,3253689287.1003,215887051498.1205
baseline_liq,300,ethusdt,179,0.059261656412296505,12.155270609505832,-0.09029553181701555,12.096008953093536,13860712.333216872,True,782164,136262496,203146880639.2635,2481067507.64582,200665813131.61768
current_hybrid,30,btcusdt,179,-0.10882655642065976,6.5785181725915605,-0.111145461965708,6.68734472901222,424376.44956759777,False,13070,80390513,219141953301.80112,75963384.4726,219065989917.3285
current_hybrid,30,ethusdt,179,-0.03928731348105265,22.7202583773295,-0.09502787365147579,22.759545690810555,2772708.333776983,True,159894,136885281,203147654233.5019,496314791.74608,202651339441.7558
current_hybrid,120,btcusdt,179,-0.03653556779181465,4.10312608864827,-0.09892517160111977,4.139661656440084,18177035.123465363,True,646367,79757137,219141785402.404,3253689287.1003,215888096115.3037
current_hybrid,120,ethusdt,179,-0.002259481798598134,10.627159248248201,-0.13368304153847765,10.6294187300468,13860712.333216872,True,782164,136262863,203147565116.4344,2481067507.64582,200666497608.78854
current_hybrid,300,btcusdt,179,0.013362138568905356,4.430783755322955,-0.053213958938096204,4.41742161675405,18177035.123465363,True,646367,79756866,219140740785.2208,3253689287.1003,215887051498.1205
current_hybrid,300,ethusdt,179,0.059261656412296505,12.155270609505832,-0.09029553181701555,12.096008953093536,13860712.333216872,True,782164,136262496,203146880639.2635,2481067507.64582,200665813131.61768
eth100_btc50_bybit_long,30,btcusdt,179,-0.10882655642065976,6.5785181725915605,-0.111145461965708,6.68734472901222,424376.44956759777,False,13070,80390513,219141953301.80112,75963384.4726,219065989917.3285
eth100_btc50_bybit_long,30,ethusdt,179,-0.03928731348105265,67.91077705586619,-0.06140651223476916,67.95006436934725,369315.00262307265,False,23979,137021196,203147654233.5019,66107385.46953001,203081546848.03235
eth100_btc50_bybit_long,120,btcusdt,179,-0.03653556779181465,13.880193305482141,-0.09465054088576115,13.916728873273955,5091118.924188827,True,166282,80237222,219141785402.404,911310287.4298,218230475114.9742
eth100_btc50_bybit_long,120,ethusdt,179,-0.002259481798598134,33.3543896027683,-0.06023632574781843,33.3566490845669,1969139.8307639663,True,90147,136954880,203147565116.4344,352476029.70675,202795089086.72763
eth100_btc50_bybit_long,300,btcusdt,179,0.013362138568905356,11.829984768985447,-0.03598322122610809,11.816622630416543,5091118.924188827,True,166282,80236951,219140740785.2208,911310287.4298,218229430497.79102
eth100_btc50_bybit_long,300,ethusdt,179,0.059261656412296505,36.25509930556729,-0.0036501639165126237,36.195837649154996,1969139.8307639663,True,90147,136954513,203146880639.2635,352476029.70675,202794404609.55673
eth100_btc50_liq2_120_bybit300,30,btcusdt,179,-0.10882655642065976,6.5785181725915605,-0.111145461965708,6.68734472901222,424376.44956759777,False,13070,80390513,219141953301.80112,75963384.4726,219065989917.3285
eth100_btc50_liq2_120_bybit300,30,ethusdt,179,-0.03928731348105265,67.91077705586619,-0.06140651223476916,67.95006436934725,369315.00262307265,False,23979,137021196,203147654233.5019,66107385.46953001,203081546848.03235
eth100_btc50_liq2_120_bybit300,120,btcusdt,179,-0.03653556779181465,12.811980395912167,-0.06591216884782171,12.848515963703981,2792729.7566055865,True,89080,80314424,219141785402.404,499898626.4324,218641886775.9716
eth100_btc50_liq2_120_bybit300,120,ethusdt,179,-0.002259481798598134,35.439426794768465,-0.031160308439664986,35.44168627656706,924699.1924851955,True,43904,137001123,203147565116.4344,165521155.45485,202982043960.97952
eth100_btc50_liq2_120_bybit300,300,btcusdt,179,0.013362138568905356,11.829984768985447,-0.03598322122610809,11.816622630416543,5091118.924188827,True,166282,80236951,219140740785.2208,911310287.4298,218229430497.79102
eth100_btc50_liq2_120_bybit300,300,ethusdt,179,0.059261656412296505,36.25509930556729,-0.0036501639165126237,36.195837649154996,1969139.8307639663,True,90147,136954513,203146880639.2635,352476029.70675,202794404609.55673
eth100_btc50_liq2_300,30,btcusdt,179,-0.10882655642065976,6.5785181725915605,-0.111145461965708,6.68734472901222,424376.44956759777,False,13070,80390513,219141953301.80112,75963384.4726,219065989917.3285
eth100_btc50_liq2_300,30,ethusdt,179,-0.03928731348105265,67.91077705586619,-0.06140651223476916,67.95006436934725,369315.00262307265,False,23979,137021196,203147654233.5019,66107385.46953001,203081546848.03235
eth100_btc50_liq2_300,120,btcusdt,179,-0.03653556779181465,4.10312608864827,-0.09892517160111977,4.139661656440084,18177035.123465363,True,646367,79757137,219141785402.404,3253689287.1003,215888096115.3037
eth100_btc50_liq2_300,120,ethusdt,179,-0.002259481798598134,10.627159248248201,-0.13368304153847765,10.6294187300468,13860712.333216872,True,782164,136262863,203147565116.4344,2481067507.64582,200666497608.78854
eth100_btc50_liq2_300,300,btcusdt,179,0.013362138568905356,11.615392917781481,-0.013164649349989732,11.602030779212576,2792729.7566055865,True,89080,80314153,219140740785.2208,499898626.4324,218640842158.7884
eth100_btc50_liq2_300,300,ethusdt,179,0.059261656412296505,39.91346300134519,0.026762546774252455,39.854201344932896,924699.1924851955,True,43904,137000756,203146880639.2635,165521155.45485,202981359483.80865
eth100_btc50_liq2_long,30,btcusdt,179,-0.10882655642065976,6.5785181725915605,-0.111145461965708,6.68734472901222,424376.44956759777,False,13070,80390513,219141953301.80112,75963384.4726,219065989917.3285
eth100_btc50_liq2_long,30,ethusdt,179,-0.03928731348105265,67.91077705586619,-0.06140651223476916,67.95006436934725,369315.00262307265,False,23979,137021196,203147654233.5019,66107385.46953001,203081546848.03235
