split,variant,horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
public_extra,current_hybrid,30,59,-0.10720305501856524,-3.0811701480253126,-0.1040351770784165,-2.973967093006747,2195286.6143315253,True,35136,65098344,121723190028.52669,129521910.24556,121593668118.28113
public_extra,current_hybrid,120,59,-0.09027019170307514,-0.9408551910221221,-0.08049986897008896,-0.850584999319047,23428876.163747285,True,381566,64751687,121722933012.06209,1382303693.66109,120340629318.401
public_extra,current_hybrid,300,59,-0.065627937612446,-2.30589503470411,-0.039894534055227825,-2.240267097091664,23428876.163747285,True,381566,64751049,121721203917.70801,1382303693.66109,120338900224.0469
public_extra,eth100_btc50_baseline_and_ret20_long,30,59,-0.10720305501856524,6.727266851460601,-0.10891789561009406,6.834469906479166,517524.933129661,True,6063,65127417,121723190028.52669,30533971.05465,121692656057.47205
public_extra,eth100_btc50_baseline_and_ret20_long,120,59,-0.09027019170307514,-9.808905215326709,-0.05435031655428188,-9.718635023623634,7597098.513118474,True,118878,65014375,121722933012.06209,448228812.27399,121274704199.7881
public_extra,eth100_btc50_baseline_and_ret20_long,300,59,-0.065627937612446,-14.36863820784017,-0.012763552123484867,-14.303010270227725,7597098.513118474,True,118878,65013737,121721203917.70801,448228812.27399,121272975105.434
public_extra,eth100_btc50_baseline_or_ret50_long,30,59,-0.10720305501856524,6.727266851460601,-0.10891789561009406,6.834469906479166,517524.933129661,True,6063,65127417,121723190028.52669,30533971.05465,121692656057.47205
public_extra,eth100_btc50_baseline_or_ret50_long,120,59,-0.09027019170307514,-1.0066498785738378,-0.07924981264406405,-0.9163796868707627,24516010.983938474,True,398696,64734557,121722933012.06209,1446444648.05237,120276488364.00972
public_extra,eth100_btc50_baseline_or_ret50_long,300,59,-0.065627937612446,-2.6832275160485826,-0.03414824125749915,-2.6175995784361366,24516010.983938474,True,398696,64733919,121721203917.70801,1446444648.05237,120274759269.65562
public_extra,eth100_btc50_bybit_or_ret50_long,30,59,-0.10720305501856524,6.727266851460601,-0.10891789561009406,6.834469906479166,517524.933129661,True,6063,65127417,121723190028.52669,30533971.05465,121692656057.47205
public_extra,eth100_btc50_bybit_or_ret50_long,120,59,-0.09027019170307514,-8.039136413821758,-0.06971746251791168,-7.948866222118683,5320632.199260847,True,75585,65057668,121722933012.06209,313917299.75639,121409015712.3057
public_extra,eth100_btc50_bybit_or_ret50_long,300,59,-0.065627937612446,-16.783912241449936,-0.02240023018714641,-16.71828430383749,5320632.199260847,True,75585,65057030,121721203917.70801,313917299.75639,121407286617.95161
public_extra,eth100_btc50_liq2_and_ret20_long,30,59,-0.10720305501856524,6.727266851460601,-0.10891789561009406,6.834469906479166,517524.933129661,True,6063,65127417,121723190028.52669,30533971.05465,121692656057.47205
public_extra,eth100_btc50_liq2_and_ret20_long,120,59,-0.09027019170307514,4.595423742821501,-0.09261513469613178,4.685693934524576,1031956.7152554238,True,12647,65120606,121722933012.06209,60885446.20007,121662047565.86201
public_extra,eth100_btc50_liq2_and_ret20_long,300,59,-0.065627937612446,-1.2625171037080067,-0.06502894911853684,-1.1968891660955607,1031956.7152554238,True,12647,65119968,121721203917.70801,60885446.20007,121660318471.50793
public_extra,eth100_btc50_liq2_long,30,59,-0.10720305501856524,6.727266851460601,-0.10891789561009406,6.834469906479166,517524.933129661,True,6063,65127417,121723190028.52669,30533971.05465,121692656057.47205
public_extra,eth100_btc50_liq2_long,120,59,-0.09027019170307514,4.569775771691601,-0.09537670965777044,4.660045963394676,2258288.4678866104,True,29933,65103320,121722933012.06209,133239019.60531001,121589693992.45679
public_extra,eth100_btc50_liq2_long,300,59,-0.065627937612446,3.1240910861663718,-0.06912330852272372,3.1897190237788178,2258288.4678866104,True,29933,65102682,121721203917.70801,133239019.60531001,121587964898.10269
public_extra,eth100_btc50_liq2_or_ret50_long,30,59,-0.10720305501856524,6.727266851460601,-0.10891789561009406,6.834469906479166,517524.933129661,True,6063,65127417,121723190028.52669,30533971.05465,121692656057.47205
public_extra,eth100_btc50_liq2_or_ret50_long,120,59,-0.09027019170307514,-3.1596667787925594,-0.08380335323269399,-3.0693965870894844,4337558.669134406,True,62854,65070399,121722933012.06209,255915961.47893,121467017050.58316
public_extra,eth100_btc50_liq2_or_ret50_long,300,59,-0.065627937612446,-9.36113533889252,-0.046043175956998035,-9.295507401280075,4337558.669134406,True,62854,65069761,121721203917.70801,255915961.47893,121465287956.22906
public_extra,eth100_btc50_ret5_long,30,59,-0.10720305501856524,6.727266851460601,-0.10891789561009406,6.834469906479166,517524.933129661,True,6063,65127417,121723190028.52669,30533971.05465,121692656057.47205
public_extra,eth100_btc50_ret5_long,120,59,-0.09027019170307514,-9.91708871046706,-0.07980261542033572,-9.826818518763986,2195286.6143315253,True,35136,65098117,121722933012.06209,129521910.24556,121593411101.81653
public_extra,eth100_btc50_ret5_long,300,59,-0.065627937612446,-19.87037407951719,-0.04453152287520717,-19.804746141904744,2195286.6143315253,True,35136,65097479,121721203917.70801,129521910.24556,121591682007.46245
train,current_hybrid,30,92,-0.0702427576631845,8.590663811016135,-0.07813183402209752,8.66090656867932,2220316.9246338042,True,51537,101522489,224458161973.7341,204269157.06631,224253892816.66782
train,current_hybrid,120,92,0.023575801819424515,8.76442725174636,-0.1096952959390343,8.740851449926936,36640224.68056489,True,746131,100827895,224458161973.7341,3370900670.61197,221087261303.12213
train,current_hybrid,300,92,0.08925486431821807,10.495030746431354,-0.06940120972469506,10.405775882113137,36640224.68056489,True,746131,100827895,224458161973.7341,3370900670.61197,221087261303.12213
train,eth100_btc50_baseline_and_ret20_long,30,92,-0.0702427576631845,12.875758648990285,-0.07333330828858144,12.946001406653469,582296.4225834783,True,9752,101564274,224458161973.7341,53571270.87768,224404590702.85645
train,eth100_btc50_baseline_and_ret20_long,120,92,0.023575801819424515,19.4781382406688,-0.06963672899704512,19.454562438849376,11633879.032297282,True,239512,101334514,224458161973.7341,1070316870.97135,223387845102.76276
train,eth100_btc50_baseline_and_ret20_long,300,92,0.08925486431821807,24.196913356643215,-0.026252018305952366,24.107658492324997,11633879.032297282,True,239512,101334514,224458161973.7341,1070316870.97135,223387845102.76276
train,eth100_btc50_baseline_or_ret50_long,30,92,-0.0702427576631845,12.875758648990285,-0.07333330828858144,12.946001406653469,582296.4225834783,True,9752,101564274,224458161973.7341,53571270.87768,224404590702.85645
train,eth100_btc50_baseline_or_ret50_long,120,92,0.023575801819424515,8.266428979517421,-0.10514241145664333,8.242853177697997,37512895.95512793,True,767494,100806532,224458161973.7341,3451186427.87177,221006975545.86234
train,eth100_btc50_baseline_or_ret50_long,300,92,0.08925486431821807,10.265069846282094,-0.06964796882335526,10.175814981963876,37512895.95512793,True,767494,100806532,224458161973.7341,3451186427.87177,221006975545.86234
train,eth100_btc50_bybit_or_ret50_long,30,92,-0.0702427576631845,12.875758648990285,-0.07333330828858144,12.946001406653469,582296.4225834783,True,9752,101564274,224458161973.7341,53571270.87768,224404590702.85645
train,eth100_btc50_bybit_or_ret50_long,120,92,0.023575801819424515,22.64555246668917,-0.07530861662200701,22.621976664869745,10618193.91143826,True,192817,101381209,224458161973.7341,976873839.85232,223481288133.8818
train,eth100_btc50_bybit_or_ret50_long,300,92,0.08925486431821807,26.048790948924935,-0.024218580852558808,25.959536084606718,10618193.91143826,True,192817,101381209,224458161973.7341,976873839.85232,223481288133.8818
train,eth100_btc50_liq2_and_ret20_long,30,92,-0.0702427576631845,12.875758648990285,-0.07333330828858144,12.946001406653469,582296.4225834783,True,9752,101564274,224458161973.7341,53571270.87768,224404590702.85645
train,eth100_btc50_liq2_and_ret20_long,120,92,0.023575801819424515,30.44718596946911,-0.011926766631577868,30.423610167649684,2843741.3962623915,True,48298,101525728,224458161973.7341,261624208.45614,224196537765.27795
train,eth100_btc50_liq2_and_ret20_long,300,92,0.08925486431821807,32.84891392677094,0.0510262638369729,32.75965906245272,2843741.3962623915,True,48298,101525728,224458161973.7341,261624208.45614,224196537765.27795
train,eth100_btc50_liq2_long,30,92,-0.0702427576631845,12.875758648990285,-0.07333330828858144,12.946001406653469,582296.4225834783,True,9752,101564274,224458161973.7341,53571270.87768,224404590702.85645
train,eth100_btc50_liq2_long,120,92,0.023575801819424515,21.163536000770083,-0.018493355430981396,21.139960198950657,4845558.280343262,True,82259,101491767,224458161973.7341,445791361.79158,224012370611.94254
train,eth100_btc50_liq2_long,300,92,0.08925486431821807,22.911124373434305,0.04383865690383961,22.821869509116087,4845558.280343262,True,82259,101491767,224458161973.7341,445791361.79158,224012370611.94254
train,eth100_btc50_liq2_or_ret50_long,30,92,-0.0702427576631845,12.875758648990285,-0.07333330828858144,12.946001406653469,582296.4225834783,True,9752,101564274,224458161973.7341,53571270.87768,224404590702.85645
train,eth100_btc50_liq2_or_ret50_long,120,92,0.023575801819424515,20.119338025891143,-0.029317739808671223,20.095762224071716,6404778.946105109,True,119859,101454167,224458161973.7341,589239663.04167,223868922310.69244
train,eth100_btc50_liq2_or_ret50_long,300,92,0.08925486431821807,25.212270312427798,0.02312921809435311,25.12301544810958,6404778.946105109,True,119859,101454167,224458161973.7341,589239663.04167,223868922310.69244
train,eth100_btc50_ret5_long,30,92,-0.0702427576631845,12.875758648990285,-0.07333330828858144,12.946001406653469,582296.4225834783,True,9752,101564274,224458161973.7341,53571270.87768,224404590702.85645
train,eth100_btc50_ret5_long,120,92,0.023575801819424515,33.41897982809142,-0.006843518642103781,33.395404026272,2220316.9246338042,True,51537,101522489,224458161973.7341,204269157.06631,224253892816.66782
train,eth100_btc50_ret5_long,300,92,0.08925486431821807,45.17753233887808,0.048184699079973026,45.08827747455986,2220316.9246338042,True,51537,101522489,224458161973.7341,204269157.06631,224253892816.66782
validation,current_hybrid,30,28,-0.03960058713903121,43.6937587359714,-0.17707092142877442,43.733359323110435,8517396.746671787,True,86291,50654961,76108255533.04218,238487108.90681002,75869768424.13538
validation,current_hybrid,120,28,-0.036386413126789925,11.689167543950557,-0.18958421776755674,11.725553957077347,35055443.94546643,True,300834,50440418,76108255533.04218,981552430.47306,75126703102.56912
validation,current_hybrid,300,28,0.03838398804990541,12.616933392440849,-0.12595845251811646,12.578549404390944,35055443.94546643,True,300834,50440418,76108255533.04218,981552430.47306,75126703102.56912
validation,eth100_btc50_baseline_and_ret20_long,30,28,-0.03960058713903121,70.62731310270783,-0.09346290593602574,70.66691368984687,2070197.4289214287,True,21234,50720018,76108255533.04218,57965528.0098,76050290005.03238
validation,eth100_btc50_baseline_and_ret20_long,120,28,-0.036386413126789925,25.821500374145774,-0.17324349452154375,25.857886787272566,14310521.738716785,True,117150,50624102,76108255533.04218,400694608.68407,75707560924.35811
validation,eth100_btc50_baseline_and_ret20_long,300,28,0.03838398804990541,27.9934895212133,-0.10957296546395207,27.955105533163394,14310521.738716785,True,117150,50624102,76108255533.04218,400694608.68407,75707560924.35811
validation,eth100_btc50_baseline_or_ret50_long,30,28,-0.03960058713903121,70.62731310270783,-0.09346290593602574,70.66691368984687,2070197.4289214287,True,21234,50720018,76108255533.04218,57965528.0098,76050290005.03238
validation,eth100_btc50_baseline_or_ret50_long,120,28,-0.036386413126789925,16.244418757859908,-0.28478036490958597,16.2808051709867,40847261.120701075,True,365107,50376145,76108255533.04218,1143723311.37963,74964532221.66255
validation,eth100_btc50_baseline_or_ret50_long,300,28,0.03838398804990541,17.13740141747822,-0.22249331293687372,17.099017429428315,40847261.120701075,True,365107,50376145,76108255533.04218,1143723311.37963,74964532221.66255
validation,eth100_btc50_bybit_or_ret50_long,30,28,-0.03960058713903121,70.62731310270783,-0.09346290593602574,70.66691368984687,2070197.4289214287,True,21234,50720018,76108255533.04218,57965528.0098,76050290005.03238
validation,eth100_btc50_bybit_or_ret50_long,120,28,-0.036386413126789925,36.14358929551856,-0.233668359539952,36.17997570864535,14741141.814525357,True,127406,50613846,76108255533.04218,412751970.80671,75695503562.23547
validation,eth100_btc50_bybit_or_ret50_long,300,28,0.03838398804990541,34.99555101931153,-0.15223023481618084,34.95716703126162,14741141.814525357,True,127406,50613846,76108255533.04218,412751970.80671,75695503562.23547
validation,eth100_btc50_liq2_and_ret20_long,30,28,-0.03960058713903121,70.62731310270783,-0.09346290593602574,70.66691368984687,2070197.4289214287,True,21234,50720018,76108255533.04218,57965528.0098,76050290005.03238
validation,eth100_btc50_liq2_and_ret20_long,120,28,-0.036386413126789925,44.04764555888274,-0.060543872243029616,44.084031972009534,1488695.0984778572,True,9132,50732120,76108255533.04218,41683462.75738,76066572070.2848
validation,eth100_btc50_liq2_and_ret20_long,300,28,0.03838398804990541,33.86108160005334,0.019849602735928253,33.82269761200343,1488695.0984778572,True,9132,50732120,76108255533.04218,41683462.75738,76066572070.2848
validation,eth100_btc50_liq2_long,30,28,-0.03960058713903121,70.62731310270783,-0.09346290593602574,70.66691368984687,2070197.4289214287,True,21234,50720018,76108255533.04218,57965528.0098,76050290005.03238
validation,eth100_btc50_liq2_long,120,28,-0.036386413126789925,25.781777430285526,-0.06572554684793958,25.818163843412318,3085335.731798571,True,20792,50720460,76108255533.04218,86389400.49035999,76021866132.55182
validation,eth100_btc50_liq2_long,300,28,0.03838398804990541,20.641528949718797,0.014971075002610157,20.603144961668892,3085335.731798571,True,20792,50720460,76108255533.04218,86389400.49035999,76021866132.55182
validation,eth100_btc50_liq2_or_ret50_long,30,28,-0.03960058713903121,70.62731310270783,-0.09346290593602574,70.66691368984687,2070197.4289214287,True,21234,50720018,76108255533.04218,57965528.0098,76050290005.03238
validation,eth100_btc50_liq2_or_ret50_long,120,28,-0.036386413126789925,41.384756498508565,-0.2090773445496919,41.42114291163536,11285331.36714893,True,104858,50636394,76108255533.04218,315989278.28017,75792266254.76201
validation,eth100_btc50_liq2_or_ret50_long,300,28,0.03838398804990541,40.800261150664255,-0.1315583659979944,40.76187716261435,11285331.36714893,True,104858,50636394,76108255533.04218,315989278.28017,75792266254.76201
validation,eth100_btc50_ret5_long,30,28,-0.03960058713903121,70.62731310270783,-0.09346290593602574,70.66691368984687,2070197.4289214287,True,21234,50720018,76108255533.04218,57965528.0098,76050290005.03238
validation,eth100_btc50_ret5_long,120,28,-0.036386413126789925,48.76955846780879,-0.189801784412103,48.805944880935584,8517396.746671787,True,86291,50654961,76108255533.04218,238487108.90681002,75869768424.13538
validation,eth100_btc50_ret5_long,300,28,0.03838398804990541,49.17495319170351,-0.116070659359443,49.1365692036536,8517396.746671787,True,86291,50654961,76108255533.04218,238487108.90681002,75869768424.13538
