variant,horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
current_hybrid,30,179,-0.07537384096596127,20.577626929575704,-0.1034003430600801,20.653000770541666,3197084.7833445813,True,172964,217275794,422289607535.303,572278176.21868,421717329359.0843
current_hybrid,120,179,-0.02004662862560465,6.925663690577013,-0.11566905134642673,6.945710319202617,32037747.45668224,True,1428531,216020000,422289350518.8384,5734756794.74612,416554593724.0923
current_hybrid,300,179,0.035442690779452585,7.772681944398443,-0.07107724738423805,7.7372392536189905,32037747.45668224,True,1428531,216019362,422287621424.4843,5734756794.74612,416552864629.73816
eth100_btc50_baseline_and_ret20_long,30,179,-0.07537384096596127,35.11721956320961,-0.08721765955010376,35.19259340417557,793691.4521906704,True,37049,217411709,422289607535.303,142070769.94213,422147536765.36084
eth100_btc50_baseline_and_ret20_long,120,179,-0.02004662862560465,13.96265081577681,-0.08388598273826928,13.982697444402413,10722012.804074917,True,475540,216972991,422289350518.8384,1919240291.92941,420370110226.909
eth100_btc50_baseline_and_ret20_long,300,179,0.035442690779452585,15.982765374167519,-0.0373666488761553,15.947322683388066,10722012.804074917,True,475540,216972353,422287621424.4843,1919240291.92941,420368381132.5549
eth100_btc50_baseline_or_ret50_long,30,179,-0.07537384096596127,35.11721956320961,-0.08721765955010376,35.19259340417557,793691.4521906704,True,37049,217411709,422289607535.303,142070769.94213,422147536765.36084
eth100_btc50_baseline_or_ret50_long,120,179,-0.02004662862560465,7.556591065220052,-0.1300126916412239,7.576637693845656,33750583.169294804,True,1531297,215917234,422289350518.8384,6041354387.30377,416247996131.5346
eth100_btc50_baseline_or_ret50_long,300,179,0.035442690779452585,8.465978301103368,-0.08691721327273592,8.430535610323915,33750583.169294804,True,1531297,215916596,422287621424.4843,6041354387.30377,416246267037.18054
eth100_btc50_bybit_or_ret50_long,30,179,-0.07537384096596127,35.11721956320961,-0.08721765955010376,35.19259340417557,793691.4521906704,True,37049,217411709,422289607535.303,142070769.94213,422147536765.36084
eth100_btc50_bybit_or_ret50_long,120,179,-0.02004662862560465,20.261630774725823,-0.10219564839648788,20.281677403351427,9517000.616845923,True,395808,217052723,422289350518.8384,1703543110.41542,420585807408.423
eth100_btc50_bybit_or_ret50_long,300,179,0.035442690779452585,20.32358586560645,-0.046732855825022956,20.288143174827,9517000.616845923,True,395808,217052085,422287621424.4843,1703543110.41542,420584078314.06885
eth100_btc50_liq2_and_ret20_long,30,179,-0.07537384096596127,35.11721956320961,-0.08721765955010376,35.19259340417557,793691.4521906704,True,37049,217411709,422289607535.303,142070769.94213,422147536765.36084
eth100_btc50_liq2_and_ret20_long,120,179,-0.02004662862560465,27.681944729873404,-0.0439581551473982,27.701991358499008,2034598.4213049721,True,70077,217378454,422289350518.8384,364193117.41359,421925157401.4248
eth100_btc50_liq2_and_ret20_long,300,179,0.035442690779452585,27.262045455037963,0.011941409096463846,27.226602764258512,2034598.4213049721,True,70077,217377816,422287621424.4843,364193117.41359,421923428307.0707
eth100_btc50_liq2_long,30,179,-0.07537384096596127,35.11721956320961,-0.08721765955010376,35.19259340417557,793691.4521906704,True,37049,217411709,422289607535.303,142070769.94213,422147536765.36084
eth100_btc50_liq2_long,120,179,-0.02004662862560465,18.44048915816894,-0.049181610777351926,18.460535786794544,3717428.9490907816,True,132984,217315547,422289350518.8384,665419781.88725,421623930736.9511
eth100_btc50_liq2_long,300,179,0.035442690779452585,18.65445214756471,0.006057480125405827,18.61900945678526,3717428.9490907816,True,132984,217314909,422287621424.4843,665419781.88725,421622201642.59705
eth100_btc50_liq2_or_ret50_long,30,179,-0.07537384096596127,35.11721956320961,-0.08721765955010376,35.19259340417557,793691.4521906704,True,37049,217411709,422289607535.303,142070769.94213,422147536765.36084
eth100_btc50_liq2_or_ret50_long,120,179,-0.02004662862560465,20.775737874683905,-0.07738527005057955,20.79578450330951,6486843.032406537,True,287571,217160960,422289350518.8384,1161144902.80077,421128205616.0376
eth100_btc50_liq2_or_ret50_long,300,179,0.035442690779452585,21.83435566578403,-0.024662047579881743,21.79891297500458,6486843.032406537,True,287571,217160322,422287621424.4843,1161144902.80077,421126476521.68353
eth100_btc50_ret5_long,30,179,-0.07537384096596127,35.11721956320961,-0.08721765955010376,35.19259340417557,793691.4521906704,True,37049,217411709,422289607535.303,142070769.94213,422147536765.36084
eth100_btc50_ret5_long,120,179,-0.02004662862560465,30.007954664224513,-0.060795203777912366,30.028001292850117,3197084.7833445813,True,172964,217275567,422289350518.8384,572278176.21868,421717072342.6197
eth100_btc50_ret5_long,300,179,0.035442690779452585,32.12130188137465,-0.008098615634891896,32.085859190595194,3197084.7833445813,True,172964,217274929,422287621424.4843,572278176.21868,421715343248.2656
