strategy,split,horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
no_filter,train,30,7,0.030236575191214074,0.030236575191214074,,0.0,27982045201.985283,True,83985240,0,195874316413.89697,195874316413.89697,0.0
no_filter,train,120,7,-0.00946338082190134,-0.00946338082190134,,0.0,27982045201.985283,True,83985240,0,195874316413.89697,195874316413.89697,0.0
no_filter,train,300,7,-0.08505801517955065,-0.08505801517955065,,0.0,27982045201.985283,True,83985240,0,195874316413.89697,195874316413.89697,0.0
sym_both_q90_win20,train,30,7,0.030236575191214074,0.047192909211198494,-0.14975840882805477,0.01695633401998442,25572957973.0661,True,77603495,6381745,195874316413.89697,179010705811.4627,16863610602.43425
sym_both_q90_win20,train,120,7,-0.00946338082190134,-0.12878827425865647,1.2571949818841104,-0.11932489343675512,25572957973.0661,True,77603495,6381745,195874316413.89697,179010705811.4627,16863610602.43425
sym_both_q90_win20,train,300,7,-0.08505801517955065,-0.2838781690775901,2.0254589386271364,-0.19882015389803948,25572957973.0661,True,77603495,6381745,195874316413.89697,179010705811.4627,16863610602.43425
sym_both_q90_win30,train,30,7,0.030236575191214074,0.02630785265638225,0.06343028697554247,-0.003928722534831824,25020663666.211857,True,75989869,7995371,195874316413.89697,175144645663.483,20729670750.413948
sym_both_q90_win30,train,120,7,-0.00946338082190134,-0.16711279668158951,1.322513929008202,-0.15764941585968817,25020663666.211857,True,75989869,7995371,195874316413.89697,175144645663.483,20729670750.413948
sym_both_q90_win30,train,300,7,-0.08505801517955065,-0.33966611265053803,2.066121593580958,-0.2546080974709874,25020663666.211857,True,75989869,7995371,195874316413.89697,175144645663.483,20729670750.413948
sym_both_q90_win45,train,30,7,0.030236575191214074,0.020647040442817437,0.09460318408814981,-0.009589534748396637,24353749004.14023,True,74005706,9979534,195874316413.89697,170476243028.9816,25398073384.91535
sym_both_q90_win45,train,120,7,-0.00946338082190134,-0.18575823200859476,1.1738580247108075,-0.1762948511866934,24353749004.14023,True,74005706,9979534,195874316413.89697,170476243028.9816,25398073384.91535
sym_both_q90_win45,train,300,7,-0.08505801517955065,-0.41024663866743843,2.0976640349467695,-0.3251886234878878,24353749004.14023,True,74005706,9979534,195874316413.89697,170476243028.9816,25398073384.91535
sym_both_q90_win60,train,30,7,0.030236575191214074,0.0228304060555764,0.07230049205208318,-0.007406169135637675,23792851766.14619,True,72310234,11675006,195874316413.89697,166549962363.02335,29324354050.87362
sym_both_q90_win60,train,120,7,-0.00946338082190134,-0.18216036838845323,0.9713826671257371,-0.17269698756655188,23792851766.14619,True,72310234,11675006,195874316413.89697,166549962363.02335,29324354050.87362
sym_both_q90_win60,train,300,7,-0.08505801517955065,-0.45689967405182963,2.0268457690518784,-0.371841658872279,23792851766.14619,True,72310234,11675006,195874316413.89697,166549962363.02335,29324354050.87362
sym_both_q90_win90,train,30,7,0.030236575191214074,0.01332011630956263,0.10574950527907798,-0.01691645888165144,22860761567.404324,True,69494364,14490876,195874316413.89697,160025330971.83026,35848985442.06669
sym_both_q90_win90,train,120,7,-0.00946338082190134,-0.1963723613263333,0.8248746373394512,-0.18690898050443194,22860761567.404324,True,69494364,14490876,195874316413.89697,160025330971.83026,35848985442.06669
sym_both_q90_win90,train,300,7,-0.08505801517955065,-0.5622582228379682,2.0451032774955715,-0.4772002076584176,22860761567.404324,True,69494364,14490876,195874316413.89697,160025330971.83026,35848985442.06669
sym_both_q95_win20,train,30,7,0.030236575191214074,0.041033297932856136,-0.13133011485801122,0.010796722741642062,26229269604.78535,True,79482655,4502585,195874316413.89697,183604887233.49747,12269429180.3995
sym_both_q95_win20,train,120,7,-0.00946338082190134,-0.12432625054876212,1.7093928050230445,-0.11486286972686077,26229269604.78535,True,79482655,4502585,195874316413.89697,183604887233.49747,12269429180.3995
sym_both_q95_win20,train,300,7,-0.08505801517955065,-0.2729015893973308,2.72591205968661,-0.18784357421778014,26229269604.78535,True,79482655,4502585,195874316413.89697,183604887233.49747,12269429180.3995
sym_both_q95_win30,train,30,7,0.030236575191214074,0.019682182068087806,0.15561302261261695,-0.010554393123126268,25809370448.64926,True,78274230,5711010,195874316413.89697,180665593140.54483,15208723273.35212
sym_both_q95_win30,train,120,7,-0.00946338082190134,-0.16608636446627326,1.8510730844007683,-0.1566229836443719,25809370448.64926,True,78274230,5711010,195874316413.89697,180665593140.54483,15208723273.35212
sym_both_q95_win30,train,300,7,-0.08505801517955065,-0.3187026758876234,2.6904248739664474,-0.23364466070807277,25809370448.64926,True,78274230,5711010,195874316413.89697,180665593140.54483,15208723273.35212
sym_both_q95_win45,train,30,7,0.030236575191214074,0.00791505238088567,0.24048957505219248,-0.022321522810328405,25296446396.571445,True,76782209,7203031,195874316413.89697,177075124776.00012,18799191637.89683
sym_both_q95_win45,train,120,7,-0.00946338082190134,-0.18932076002738205,1.6846662646514037,-0.1798573792054807,25296446396.571445,True,76782209,7203031,195874316413.89697,177075124776.00012,18799191637.89683
sym_both_q95_win45,train,300,7,-0.08505801517955065,-0.35774276070408917,2.483439943048162,-0.27268474552453853,25296446396.571445,True,76782209,7203031,195874316413.89697,177075124776.00012,18799191637.89683
sym_both_q95_win60,train,30,7,0.030236575191214074,0.012393562126351641,0.17254250317606445,-0.017843013064862433,24864422351.356445,True,75506091,8479149,195874316413.89697,174050956459.49512,21823359954.40186
sym_both_q95_win60,train,120,7,-0.00946338082190134,-0.1988770768371545,1.5011946950594512,-0.18941369601525315,24864422351.356445,True,75506091,8479149,195874316413.89697,174050956459.49512,21823359954.40186
