strategy,split,horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
base_q95w30,train,30,7,0.030236575191214074,0.020162862001644574,0.1501544942312926,-0.0100737131895695,25813574101.288708,True,78355508,5629732,195874316413.89697,180695018709.02097,15179297704.87599
base_q95w30,train,120,7,-0.00946338082190134,-0.15338753958916626,1.7038160519134555,-0.14392415876726491,25813574101.288708,True,78355508,5629732,195874316413.89697,180695018709.02097,15179297704.87599
base_q95w30,train,300,7,-0.08505801517955065,-0.31625047721977134,2.6670670874411706,-0.2311924620402207,25813574101.288708,True,78355508,5629732,195874316413.89697,180695018709.02097,15179297704.87599
base_q99w60,train,30,7,0.030236575191214074,0.03516369420122534,-0.06810367386327988,0.004927119010011263,26646958722.705822,True,80579434,3405806,195874316413.89697,186528711058.94077,9345605354.9562
base_q99w60,train,120,7,-0.00946338082190134,-0.10200898924649296,1.8376521775565455,-0.09254560842459161,26646958722.705822,True,80579434,3405806,195874316413.89697,186528711058.94077,9345605354.9562
base_q99w60,train,300,7,-0.08505801517955065,-0.1464500291795561,1.1402637061855125,-0.06139201400000545,26646958722.705822,True,80579434,3405806,195874316413.89697,186528711058.94077,9345605354.9562
guard_q95w30_ret10s_gt-100,train,30,7,0.030236575191214074,0.018558562990299246,0.16984068212759096,-0.011678012200914828,25822010247.829334,True,78372355,5612885,195874316413.89697,180754071734.80533,15120244679.09164
guard_q95w30_ret10s_gt-100,train,120,7,-0.00946338082190134,-0.16474458627373761,1.8468366159711695,-0.15528120545183627,25822010247.829334,True,78372355,5612885,195874316413.89697,180754071734.80533,15120244679.09164
guard_q95w30_ret10s_gt-100,train,300,7,-0.08505801517955065,-0.31551281461710046,2.6699002697724596,-0.23045479943754982,25822010247.829334,True,78372355,5612885,195874316413.89697,180754071734.80533,15120244679.09164
guard_q95w30_ret10s_gt-20,train,30,7,0.030236575191214074,-0.027878851668322338,0.8427265208705518,-0.05811542685953641,26114162746.15584,True,79043753,4941487,195874316413.89697,182799139223.09088,13075177190.80608
guard_q95w30_ret10s_gt-20,train,120,7,-0.00946338082190134,-0.1455483373035129,1.8930892609535614,-0.13608495648161156,26114162746.15584,True,79043753,4941487,195874316413.89697,182799139223.09088,13075177190.80608
guard_q95w30_ret10s_gt-20,train,300,7,-0.08505801517955065,-0.2736890713432322,2.552121901717448,-0.1886310561636816,26114162746.15584,True,79043753,4941487,195874316413.89697,182799139223.09088,13075177190.80608
guard_q95w30_ret10s_gt-50,train,30,7,0.030236575191214074,0.0061989172485866105,0.3233208001272267,-0.024037657942627463,25861022127.214153,True,78456705,5528535,195874316413.89697,181027154890.49908,14847161523.39789
guard_q95w30_ret10s_gt-50,train,120,7,-0.00946338082190134,-0.16216463934306363,1.852378987816805,-0.1527012585211623,25861022127.214153,True,78456705,5528535,195874316413.89697,181027154890.49908,14847161523.39789
