threshold_label,threshold,relation,bin_start_s,bin_end_s,large_liq_count,trade_count,weight_sum,weighted_pnl_sum,avg_markout_bps
q90,16684.13,opposite_direction,0,10,36188,118218523,404018778836.68475,-2092468459428.0745,-5.179136636799515
q90,16684.13,opposite_direction,10,20,36188,89390559,283994452471.7302,-1712099285210.6582,-6.028636370568141
q90,16684.13,opposite_direction,20,30,36188,79564445,243052008408.574,-3660355119567.735,-15.059966562442982
q90,16684.13,opposite_direction,30,40,36188,72543387,214010363021.99866,-3326160840640.047,-15.54205503729809
q90,16684.13,opposite_direction,40,50,36188,69595780,198684961111.07025,-2897120964915.5786,-14.581480896765054
q90,16684.13,opposite_direction,50,60,36188,66019682,184869539754.46344,-1861031565094.8884,-10.066729043446738
q90,16684.13,opposite_direction,60,70,36188,62762496,172944836660.49893,-1203034383688.8977,-6.956174043232792
q90,16684.13,opposite_direction,70,80,36188,60064941,163182600668.516,-804487316993.5422,-4.929982202132889
q90,16684.13,opposite_direction,80,90,36188,58742424,158254558295.6853,-276456230092.1161,-1.7469084813063074
q90,16684.13,opposite_direction,90,100,36188,57848569,154317354034.57968,-497243329126.34717,-3.222212642493365
q90,16684.13,opposite_direction,100,110,36188,57557008,152156188849.7122,-730387284197.8823,-4.800246968063198
q90,16684.13,opposite_direction,110,120,36188,56018690,146588776058.31497,-940435755790.4468,-6.415469049392492
q90,16684.13,opposite_direction,120,130,36188,55146967,145235640618.8254,-795369127742.8301,-5.476404581918679
q90,16684.13,opposite_direction,130,140,36188,54190776,144021208812.32193,-570182490962.8794,-3.9590175340487535
q90,16684.13,opposite_direction,140,150,36188,52449273,138712178131.09613,-263978881787.66888,-1.9030692571072156
q90,16684.13,opposite_direction,150,160,36188,52717389,136667900934.8844,-7406312243.980258,-0.05419203919367288
q90,16684.13,opposite_direction,160,170,36188,49963743,127140654574.02196,219399391763.29376,1.7256430879515277
q90,16684.13,opposite_direction,170,180,36188,49783668,127870763824.87468,444436038725.39185,3.47566578498013
q90,16684.13,opposite_direction,180,190,36188,49396682,126928888906.19138,462727411774.8835,3.645564187652102
q90,16684.13,opposite_direction,190,200,36188,47706197,121502017263.07014,100630736725.47658,0.8282227652862413
q90,16684.13,opposite_direction,200,210,36188,47505444,120956233257.7708,-194316656363.47125,-1.606503866149349
q90,16684.13,opposite_direction,210,220,36188,47187467,120950243334.26906,-480533631810.16864,-3.972986069007917
q90,16684.13,opposite_direction,220,230,36188,46829654,120127961101.55139,-632778975942.6106,-5.267541129809774
q90,16684.13,opposite_direction,230,240,36188,45667308,113316444767.45709,-591306696828.63,-5.218189628540526
q90,16684.13,opposite_direction,240,250,36188,45104254,110875710678.19498,-433484957483.8079,-3.9096476120180386
q90,16684.13,opposite_direction,250,260,36188,44695789,108935985227.43788,-335425707918.9425,-3.079108406819258
q90,16684.13,opposite_direction,260,270,36188,44120299,105916172197.40247,-107700154616.42024,-1.0168433430136887
q90,16684.13,opposite_direction,270,280,36188,43930000,104572732577.1957,-32185192381.646336,-0.3077780563674875
q90,16684.13,opposite_direction,280,290,36188,44435425,108424247951.04825,35865102424.462685,0.33078488532062666
q90,16684.13,opposite_direction,290,300,36188,43062651,104730932719.87096,59759915353.864426,0.5706042503575066
q90,16684.13,same_direction,0,10,36188,155849952,696436927247.4866,6523123106574.307,9.366423363498994
q90,16684.13,same_direction,10,20,36188,96019480,372209201426.8653,3479716371702.523,9.3488187781576
q90,16684.13,same_direction,20,30,36188,84016991,304835722646.1382,6488335322113.706,21.284694804767177
q90,16684.13,same_direction,30,40,36188,71440009,234840639192.64548,4100578642778.57,17.461111743162842
q90,16684.13,same_direction,40,50,36188,65834497,209841232001.47186,3221291049907.4053,15.35108719665166
q90,16684.13,same_direction,50,60,36188,63595616,195535814738.1731,1569108736550.8984,8.024661562138736
q90,16684.13,same_direction,60,70,36188,61403955,186495073966.50937,1170802687977.516,6.277928221244964
q90,16684.13,same_direction,70,80,36188,58860854,177173355892.62332,744050707202.511,4.199563210020394
q90,16684.13,same_direction,80,90,36188,57351906,168859764428.7424,403119303691.205,2.387302298181983
q90,16684.13,same_direction,90,100,36188,55896181,161099010735.4801,647314597705.1072,4.018116528151616
q90,16684.13,same_direction,100,110,36188,56883919,163039608329.4207,1183118773511.6448,7.256634051286234
q90,16684.13,same_direction,110,120,36188,55184350,157119698202.4958,1057602960584.4446,6.7311926682891565
q90,16684.13,same_direction,120,130,36188,53598516,150153571793.02908,802639720305.5465,5.345458724164757
q90,16684.13,same_direction,130,140,36188,53224679,153855769709.86896,708175554241.6785,4.602853409898824
q90,16684.13,same_direction,140,150,36188,51373113,141377823058.65744,112767689244.6383,0.7976335100155784
q90,16684.13,same_direction,150,160,36188,50030317,137560025754.1421,28416493278.851433,0.20657522505585732
q90,16684.13,same_direction,160,170,36188,49698915,133991069832.80862,-242991874818.4538,-1.8134930568257586
q90,16684.13,same_direction,170,180,36188,50387130,136846953157.62286,-745368622700.6263,-5.446731589574354
q90,16684.13,same_direction,180,190,36188,49374498,138301420870.82315,-325621233987.2173,-2.3544315881711393
q90,16684.13,same_direction,190,200,36188,48518888,132048860703.91125,92865037336.38928,0.7032626926226758
q90,16684.13,same_direction,200,210,36188,48376069,135450724801.67216,541736706978.1025,3.9995113187568165
q90,16684.13,same_direction,210,220,36188,47467442,129340469334.25421,862906860343.0815,6.671592153520595
q90,16684.13,same_direction,220,230,36188,47278596,126139385520.47507,935905432943.1763,7.419613065986113
q90,16684.13,same_direction,230,240,36188,44958710,118643637750.8545,831603581250.9465,7.0092555910774665
q90,16684.13,same_direction,240,250,36188,44263283,114239138672.47034,562782499300.8907,4.92635453874016
q90,16684.13,same_direction,250,260,36188,42941573,107037706477.98877,426586144910.416,3.985381964421474
