strategy,date,symbol,horizon_s,pnl_all,pnl_kept,pnl_filtered,score,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover,kept_trade_count,filtered_trade_count
task3_final_horizon_specific,2025-12-01,btcusdt,30,0.0258237172732453,0.1359083257927209,-1.4313468400922202,0.1100846085194756,23084398443.0136,21462941375.3817,1621457067.6318998,6321624,446243
task3_final_horizon_specific,2025-12-01,ethusdt,30,0.6900913885137601,0.9982113904182268,-3.5152071660952187,0.3081200019044667,17668497026.029182,16462312120.03309,1206184905.99609,9861206,613982
task3_final_horizon_specific,2025-12-02,btcusdt,30,0.0510315669818101,0.0856863713984785,-0.7283398212914705,0.0346548044166684,18647536756.4074,17853671958.2607,793864798.1466999,5115898,204466
task3_final_horizon_specific,2025-12-02,ethusdt,30,0.1882547218675244,0.2077951835052873,-0.3605236711400805,0.0195404616377628,13899909242.75878,13421989777.116558,477919465.64222,7908393,249617
task3_final_horizon_specific,2025-12-03,btcusdt,30,-0.0861875433727873,-0.056115343938435,-0.8333270488428162,0.0300721994343523,17083045254.2078,16422060942.4831,660984311.7247,5258823,176076
task3_final_horizon_specific,2025-12-03,ethusdt,30,-0.1777366175938894,-0.3591649274903369,4.320725227455688,-0.1814283098964475,15623047708.6988,15017378975.59293,605668733.10587,8442799,280434
task3_final_horizon_specific,2025-12-04,btcusdt,30,-0.277944484374133,-0.3191821474601619,1.1936350436988774,-0.0412376630860288,12734406440.3688,12387281113.2259,347125327.14290005,4065627,98275
task3_final_horizon_specific,2025-12-04,ethusdt,30,-0.0688506708782295,-0.0396966762110999,-0.8546371203441537,0.0291539946671296,14691893578.95238,14166300095.23901,525593483.71337,7519726,234176
task3_final_horizon_specific,2025-12-05,btcusdt,30,0.1090073701384897,0.0915887037635474,0.3948744221374735,-0.0174186663749423,14779615610.8184,13930775135.0617,848840475.7567,4318699,196567
task3_final_horizon_specific,2025-12-05,ethusdt,30,0.3413098518131935,0.3081635364702341,1.156978193007619,-0.0331463153429594,15472618635.1133,14868410999.78222,604207635.33108,8070996,298443
task3_final_horizon_specific,2025-12-06,btcusdt,30,-0.2934914452791037,-0.280711706961439,-1.7484489920677,0.0127797383176646,4779649451.4916,4738032555.9749,41616895.5167,1580467,11231
task3_final_horizon_specific,2025-12-06,ethusdt,30,-0.1640318197776641,-0.0640618821920286,-5.565030183202484,0.0999699375856355,4654730132.84645,4570139010.81196,84591122.03449,2836439,42837
task3_final_horizon_specific,2025-12-07,btcusdt,30,-0.0167270128561642,0.141989361658379,-2.2155402816419394,0.1587163745145432,10767751009.3826,10042831852.272,724919157.1106,3149253,189605
task3_final_horizon_specific,2025-12-07,ethusdt,30,-0.5155704052233445,-1.0674735862747362,7.175137547542441,-0.5519031810513917,11987217123.807867,11184585147.70499,802631976.10288,6129484,363854
task3_final_horizon_specific,2025-12-08,btcusdt,30,-0.1113216378413432,-0.0962315713303923,-0.7726934484274771,0.0150900665109509,12956057419.4553,12667042214.3143,289015205.141,3980570,73143
task3_final_horizon_specific,2025-12-08,ethusdt,30,-0.0776379805329861,0.0167004080063995,-3.824488180404083,0.0943383885393857,12595702562.06043,12286356052.54216,309346509.51827,7410346,157072
task3_final_horizon_specific,2025-12-09,btcusdt,30,-0.2822137362408394,-0.3723613806189968,1.1133126079350446,-0.0901476443781574,15254386612.9971,14328781783.0076,925604829.9895,4251420,228136
