strategy,split,horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
no_filter,train,30,62,-0.0696436775681229,-0.0696436775681229,,0.0,22062246008.873203,True,600370629,0,1367859252550.139,1367859252550.139,0.0
no_filter,train,120,62,0.0552284863324104,0.0552284863324104,,0.0,22062246008.873203,True,600370629,0,1367859252550.139,1367859252550.139,0.0
no_filter,train,300,62,0.1065950390007672,0.1065950390007672,,0.0,22062246008.873203,True,600370629,0,1367859252550.139,1367859252550.139,0.0
no_filter,validation,30,28,-0.0464039506298896,-0.0464039506298896,,0.0,27169025580.92796,True,507412270,0,760732716265.9829,760732716265.9829,0.0
no_filter,validation,120,28,-0.0325976944803457,-0.0325976944803457,,0.0,27169025580.92796,True,507412270,0,760732716265.9829,760732716265.9829,0.0
no_filter,validation,300,28,0.0245149896478747,0.0245149896478747,,0.0,27169025580.92796,True,507412270,0,760732716265.9829,760732716265.9829,0.0
task3_final_horizon_specific,train,30,62,-0.0696436775681229,-0.0230630256550303,-1.0497446627360223,0.0465806519130925,21061279628.796352,True,577730855,22639774,1367859252550.139,1305799336985.3738,62059915564.76492
task3_final_horizon_specific,train,120,62,0.0552284863324104,0.1749614070894683,-1.5002020579057571,0.1197329207570579,20485338913.952374,True,563768962,36601667,1367859252550.139,1270091012665.047,97768239885.09148
task3_final_horizon_specific,train,300,62,0.1065950390007672,0.1718877639313608,-0.7416119372547549,0.0652927249305935,20485338913.952374,True,563768962,36601667,1367859252550.139,1270091012665.047,97768239885.09148
task3_final_horizon_specific,validation,30,28,-0.0464039506298896,-0.0097299790523744,-0.8708177987842265,0.0366739715775151,26011889166.834896,True,490719190,16693080,760732716265.9829,728332896671.3771,32399819594.6059
task3_final_horizon_specific,validation,120,28,-0.0325976944803457,0.0795949339718307,-1.336676895655255,0.1121926284521764,25016780278.406246,True,474789180,32623090,760732716265.9829,700469847795.3749,60262868470.60798
task3_final_horizon_specific,validation,300,28,0.0245149896478747,0.2289772324356977,-2.352066804750775,0.2044622427878229,25016780278.406246,True,474789180,32623090,760732716265.9829,700469847795.3749,60262868470.60798
