split,symbol,horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,positive_symbol_days,symbol_days,positive_symbol_day_rate,daily_score_mean,daily_score_median,daily_score_p10,daily_score_p90
train,btcusdt,30,62.0,-0.10492578075371699,-0.0679951452725029,-0.8838376236730081,0.036930635481214086,10643598331.711535,39.0,62.0,0.6290322580645161,0.03271322691052684,0.0132525842164779,-0.08812781909906642,0.14436293726386748
train,btcusdt,120,62.0,0.00393014132397073,0.03337767582766508,-0.38857690401614786,0.029447534503694348,10370226334.681944,37.0,62.0,0.5967741935483871,0.046690444682328275,0.027780180897947752,-0.26031971696868605,0.3471830974990049
train,btcusdt,300,62.0,0.034091384464352746,0.02881026364167905,0.10448359777279652,-0.005281120822673697,10370226334.681944,40.0,62.0,0.6451612903225806,0.04373061071317126,0.14909973734123355,-0.8369216490634982,0.7472088003910902
train,ethusdt,30,62.0,-0.03360432847910839,0.022843488449468007,-1.2184348310354811,0.056447816928576394,10417681297.084818,44.0,62.0,0.7096774193548387,0.05245126761869568,0.04844744377120565,-0.0835194317064017,0.24427109437796257
train,ethusdt,120,62.0,0.10762782754296298,0.3201160286507424,-2.582786201083173,0.21248820110777944,10115112579.270435,47.0,62.0,0.7580645161290323,0.18075672539588225,0.1101029829627613,-0.24286623464323276,0.582871869902962
train,ethusdt,300,62.0,0.18065481095716415,0.31857382894315905,-1.5656033759416494,0.1379190179859949,10115112579.270435,42.0,62.0,0.6774193548387096,0.16615173073147163,0.1751546163579512,-0.9288699845305096,1.237049480248927
validation,btcusdt,30,28.0,-0.18769617337286054,-0.12596279686618952,-1.452558437358316,0.06173337650667102,13972112563.397284,17.0,28.0,0.6071428571428571,0.03515920942928112,0.0395104701217661,-0.10926726276625333,0.13981685158782697
validation,btcusdt,120,28.0,-0.1742528023041106,-0.09694773600336928,-1.0429591728062202,0.07730506630074133,13456559160.61006,17.0,28.0,0.6071428571428571,0.03848509355182539,0.03828760748301635,-0.33902978702091663,0.41119689643069424
validation,btcusdt,300,28.0,-0.15556522343194018,0.053933522895973605,-2.5097821493867514,0.2094987463279138,13456559160.61006,20.0,28.0,0.7142857142857143,0.18293489021580264,0.14960437444754746,-0.7178535500596425,1.0994229809364515
validation,ethusdt,30,28.0,0.11903788794704712,0.12515774084035025,-0.03601354688558484,0.006119852893303135,12039776603.43761,19.0,28.0,0.6785714285714286,-0.001990752641641869,0.061412617554555654,-0.1041627919506439,0.20538893081166837
validation,ethusdt,120,28.0,0.1332690533647246,0.2850976539186119,-1.7050631248144987,0.1518286005538873,11560221117.79619,17.0,28.0,0.6071428571428571,0.10099043601470845,0.0864017367850412,-0.36552325231727895,0.7001328701424112
validation,ethusdt,300,28.0,0.23537444790304096,0.43273510255877234,-2.1542572870702235,0.19736065465573138,11560221117.79619,17.0,28.0,0.6071428571428571,0.20144991755889924,0.1477103295514261,-0.5399384982463471,1.1878963021785167
