strategy,date,symbol,horizon_s,pnl_all,pnl_kept,pnl_filtered,score,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover,kept_trade_count,filtered_trade_count
no_filter,2025-12-01,btcusdt,30,0.0258237172732453,0.0258237172732453,,0.0,23084398443.0136,23084398443.0136,0.0,6767867,0
no_filter,2025-12-01,btcusdt,120,-0.1696298313137473,-0.1696298313137473,,0.0,23084398443.0136,23084398443.0136,0.0,6767867,0
no_filter,2025-12-01,btcusdt,300,-0.4101264276152537,-0.4101264276152537,,0.0,23084398443.0136,23084398443.0136,0.0,6767867,0
task3_maker_q90_win30,2025-12-01,btcusdt,30,0.0258237172732453,0.1128520981018408,-0.5263066524919627,0.0870283808285955,23084398443.0136,19941207777.1091,3143190665.9045,5917358,850509
task3_maker_q90_win30,2025-12-01,btcusdt,120,-0.1696298313137473,-0.5218192936587056,2.064750450389004,-0.3521894623449582,23084398443.0136,19941207777.1091,3143190665.9045,5917358,850509
task3_maker_q90_win30,2025-12-01,btcusdt,300,-0.4101264276152537,-1.2020731211646762,4.614186521570439,-0.7919466935494226,23084398443.0136,19941207777.1091,3143190665.9045,5917358,850509
task3_maker_q90_win60,2025-12-01,btcusdt,30,0.0258237172732453,0.0924452866537626,-0.2605709613248412,0.0666215693805173,23084398443.0136,18727888335.377,4356510107.6366,5552184,1215683
task3_maker_q90_win60,2025-12-01,btcusdt,120,-0.1696298313137473,-0.6469906460114377,1.8824622819748067,-0.4773608146976903,23084398443.0136,18727888335.377,4356510107.6366,5552184,1215683
task3_maker_q90_win60,2025-12-01,btcusdt,300,-0.4101264276152537,-1.686263148293247,5.075766044810803,-1.2761367206779934,23084398443.0136,18727888335.377,4356510107.6366,5552184,1215683
task3_maker_q95_win30,2025-12-01,btcusdt,30,0.0258237172732453,0.1334995881544649,-0.8927584770901207,0.1076758708812196,23084398443.0136,20662363683.6296,2422034759.3840003,6118466,649401
task3_maker_q95_win30,2025-12-01,btcusdt,120,-0.1696298313137473,-0.3472729934707377,1.3458428959774371,-0.1776431621569903,23084398443.0136,20662363683.6296,2422034759.3840003,6118466,649401
task3_maker_q95_win30,2025-12-01,btcusdt,300,-0.4101264276152537,-1.0781816138631737,5.289048270645524,-0.66805518624792,23084398443.0136,20662363683.6296,2422034759.3840003,6118466,649401
task3_maker_q95_win60,2025-12-01,btcusdt,30,0.0258237172732453,0.1086485174293112,-0.4359299284259388,0.0828248001560658,23084398443.0136,19573498034.9688,3510900408.0448003,5794170,973697
task3_maker_q95_win60,2025-12-01,btcusdt,120,-0.1696298313137473,-0.4273590752038601,1.2672274595618025,-0.2577292438901127,23084398443.0136,19573498034.9688,3510900408.0448003,5794170,973697
task3_maker_q95_win60,2025-12-01,btcusdt,300,-0.4101264276152537,-1.4490742623492547,5.382075297903348,-1.038947834734001,23084398443.0136,19573498034.9688,3510900408.0448003,5794170,973697
task3_maker_q99_win30,2025-12-01,btcusdt,30,0.0258237172732453,0.1559471321605049,-2.8089882676209545,0.1301234148872595,23084398443.0136,22071283365.9551,1013115077.0585,6493645,274222
task3_maker_q99_win30,2025-12-01,btcusdt,120,-0.1696298313137473,-0.3045001552984919,2.7685962455977324,-0.1348703239847445,23084398443.0136,22071283365.9551,1013115077.0585,6493645,274222
task3_maker_q99_win30,2025-12-01,btcusdt,300,-0.4101264276152537,-0.8305066686871472,8.748094224953835,-0.4203802410718935,23084398443.0136,22071283365.9551,1013115077.0585,6493645,274222
task3_maker_q99_win60,2025-12-01,btcusdt,30,0.0258237172732453,0.1359083257927209,-1.4313468400922202,0.1100846085194756,23084398443.0136,21462941375.3817,1621457067.6318998,6321624,446243
task3_maker_q99_win60,2025-12-01,btcusdt,120,-0.1696298313137473,-0.3496196525773882,2.212863704323885,-0.1799898212636408,23084398443.0136,21462941375.3817,1621457067.6318998,6321624,446243
task3_maker_q99_win60,2025-12-01,btcusdt,300,-0.4101264276152537,-1.006360952449543,7.482124873978909,-0.5962345248342893,23084398443.0136,21462941375.3817,1621457067.6318998,6321624,446243
no_filter,2025-12-01,ethusdt,30,0.6900913885137601,0.6900913885137601,,0.0,17668497026.029182,17668497026.029182,0.0,10475188,0
no_filter,2025-12-01,ethusdt,120,0.8551952485310531,0.8551952485310531,,0.0,17668497026.029182,17668497026.029182,0.0,10475188,0
no_filter,2025-12-01,ethusdt,300,0.1843434470864685,0.1843434470864685,,0.0,17668497026.029182,17668497026.029182,0.0,10475188,0
task3_maker_q90_win30,2025-12-01,ethusdt,30,0.6900913885137601,1.1319249835505223,-2.4381512894861457,0.4418335950367622,17668497026.029182,15481839105.338127,2186657920.69105,9308020,1167168
task3_maker_q90_win30,2025-12-01,ethusdt,120,0.8551952485310531,1.073314452916038,-0.6891187459530469,0.218119204384985,17668497026.029182,15481839105.338127,2186657920.69105,9308020,1167168
task3_maker_q90_win30,2025-12-01,ethusdt,300,0.1843434470864685,-0.7365061992875244,6.7040857124263535,-0.9208496463739928,17668497026.029182,15481839105.338127,2186657920.69105,9308020,1167168
task3_maker_q90_win60,2025-12-01,ethusdt,30,0.6900913885137601,1.1717040046428076,-1.4690398469184132,0.4816126161290475,17668497026.029182,14446158338.865929,3222338687.16325,8704107,1771081
task3_maker_q90_win60,2025-12-01,ethusdt,120,0.8551952485310531,1.0489881347238157,-0.0136031586751832,0.1937928861927625,17668497026.029182,14446158338.865929,3222338687.16325,8704107,1771081
task3_maker_q90_win60,2025-12-01,ethusdt,300,0.1843434470864685,-1.2001104012739994,6.391027923160089,-1.384453848360468,17668497026.029182,14446158338.865929,3222338687.16325,8704107,1771081
task3_maker_q95_win30,2025-12-01,ethusdt,30,0.6900913885137601,1.0672692895173794,-3.0781696527702658,0.3771779010036193,17668497026.029182,16060906921.59291,1607590104.4362702,9649175,826013
task3_maker_q95_win30,2025-12-01,ethusdt,120,0.8551952485310531,1.0476994555035426,-1.06805131890437,0.1925042069724895,17668497026.029182,16060906921.59291,1607590104.4362702,9649175,826013
