strategy,split,horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
no_filter,train,30,62,-0.06964367756812292,-0.06964367756812292,,0.0,22062246008.873203,True,600370629,0,1367859252550.1387,1367859252550.1387,0.0
no_filter,train,120,62,0.055228486332410405,0.055228486332410405,,0.0,22062246008.873203,True,600370629,0,1367859252550.1387,1367859252550.1387,0.0
no_filter,train,300,62,0.10659503900076729,0.10659503900076729,,0.0,22062246008.873203,True,600370629,0,1367859252550.1387,1367859252550.1387,0.0
no_filter,validation,30,28,-0.0464039506298896,-0.0464039506298896,,0.0,27169025580.92796,True,507412270,0,760732716265.9829,760732716265.9829,0.0
no_filter,validation,120,28,-0.03259769448034573,-0.03259769448034573,,0.0,27169025580.92796,True,507412270,0,760732716265.9829,760732716265.9829,0.0
no_filter,validation,300,28,0.024514989647874786,0.024514989647874786,,0.0,27169025580.92796,True,507412270,0,760732716265.9829,760732716265.9829,0.0
task3_maker_q90_win30,train,30,62,-0.06964367756812292,-0.06630367387101986,-0.10103127662566556,0.003340003697103064,19940360897.578655,True,549752973,50617656,1367859252550.1387,1236302375649.8767,131556876900.26201
task3_maker_q90_win30,train,120,62,0.055228486332410405,0.03366776790288313,0.2578447846453535,-0.021560718429527274,19940360897.578655,True,549752973,50617656,1367859252550.1387,1236302375649.8767,131556876900.26201
task3_maker_q90_win30,train,300,62,0.10659503900076729,-0.0014856964283250856,1.1222809774430056,-0.10808073542909238,19940360897.578655,True,549752973,50617656,1367859252550.1387,1236302375649.8767,131556876900.26201
task3_maker_q90_win30,validation,30,28,-0.0464039506298896,-0.036583166592760626,-0.12414093072666094,0.009820784037128973,24121652965.045704,True,459284873,48127397,760732716265.9829,675406283021.2797,85326433244.70325
task3_maker_q90_win30,validation,120,28,-0.03259769448034573,0.08379074216254727,-0.9538770494276454,0.116388436642893,24121652965.045704,True,459284873,48127397,760732716265.9829,675406283021.2797,85326433244.70325
task3_maker_q90_win30,validation,300,28,0.024514989647874786,0.267763750212021,-1.9009345454451885,0.24324876056414618,24121652965.045704,True,459284873,48127397,760732716265.9829,675406283021.2797,85326433244.70325
task3_maker_q90_win60,train,30,62,-0.06964367756812292,-0.05317121083241884,-0.1740615912033952,0.016472466735704086,19056054677.678295,True,525993357,74377272,1367859252550.1387,1181475390016.0542,186383862534.08447
task3_maker_q90_win60,train,120,62,0.055228486332410405,0.032269136733518874,0.20076633576347241,-0.02295934959889153,19056054677.678295,True,525993357,74377272,1367859252550.1387,1181475390016.0542,186383862534.08447
task3_maker_q90_win60,train,300,62,0.10659503900076729,-0.026180610180315117,0.9482513914769193,-0.13277564918108242,19056054677.678295,True,525993357,74377272,1367859252550.1387,1181475390016.0542,186383862534.08447
task3_maker_q90_win60,validation,30,28,-0.0464039506298896,-0.0669315734093537,0.05903241495258511,-0.0205276227794641,22741446590.586792,True,434592802,72819468,760732716265.9829,636760504536.4302,123972211729.55276
task3_maker_q90_win60,validation,120,28,-0.03259769448034573,0.034199353462490194,-0.3756884674546333,0.06679704794283592,22741446590.586792,True,434592802,72819468,760732716265.9829,636760504536.4302,123972211729.55276
task3_maker_q90_win60,validation,300,28,0.024514989647874786,0.2943170511351028,-1.3612737641444583,0.269802061487228,22741446590.586792,True,434592802,72819468,760732716265.9829,636760504536.4302,123972211729.55276
task3_maker_q95_win30,train,30,62,-0.06964367756812292,-0.02383027551176974,-0.6647979963916274,0.04581340205635319,20485338913.952374,True,563768962,36601667,1367859252550.1387,1270091012665.047,97768239885.09148
task3_maker_q95_win30,train,120,62,0.055228486332410405,0.17496140708946836,-1.5002020579057571,0.11973292075705796,20485338913.952374,True,563768962,36601667,1367859252550.1387,1270091012665.047,97768239885.09148
task3_maker_q95_win30,train,300,62,0.10659503900076729,0.17188776393136088,-0.7416119372547549,0.06529272493059358,20485338913.952374,True,563768962,36601667,1367859252550.1387,1270091012665.047,97768239885.09148
task3_maker_q95_win30,validation,30,28,-0.0464039506298896,-0.017308936213559358,-0.38459197315575294,0.02909501441633024,25016780278.406246,True,474789180,32623090,760732716265.9829,700469847795.3749,60262868470.60798
task3_maker_q95_win30,validation,120,28,-0.03259769448034573,0.07959493397183075,-1.336676895655255,0.11219262845217648,25016780278.406246,True,474789180,32623090,760732716265.9829,700469847795.3749,60262868470.60798
task3_maker_q95_win30,validation,300,28,0.024514989647874786,0.22897723243569776,-2.352066804750775,0.20446224278782296,25016780278.406246,True,474789180,32623090,760732716265.9829,700469847795.3749,60262868470.60798
task3_maker_q95_win60,train,30,62,-0.06964367756812292,-0.01641745317515486,-0.5283975693472761,0.05322622439296806,19768621667.637325,True,545095228,55275401,1367859252550.1387,1225654543393.5142,142204709156.62442
task3_maker_q95_win60,train,120,62,0.055228486332410405,0.17028891483417666,-0.9364709995310992,0.11506042850176626,19768621667.637325,True,545095228,55275401,1367859252550.1387,1225654543393.5142,142204709156.62442
task3_maker_q95_win60,train,300,62,0.10659503900076729,0.13601768468182718,-0.14699712100238524,0.029422645681059886,19768621667.637325,True,545095228,55275401,1367859252550.1387,1225654543393.5142,142204709156.62442
task3_maker_q95_win60,validation,30,28,-0.0464039506298896,-0.02686049242436993,-0.1918906283758006,0.019543458205519667,23951572520.828503,True,456524847,50887423,760732716265.9829,670644030583.1981,90088685682.78482
task3_maker_q95_win60,validation,120,28,-0.03259769448034573,0.07051677947533758,-0.8002091420333016,0.10311447395568331,23951572520.828503,True,456524847,50887423,760732716265.9829,670644030583.1981,90088685682.78482
task3_maker_q95_win60,validation,300,28,0.024514989647874786,0.2570149310210025,-1.70627613701885,0.23249994137312768,23951572520.828503,True,456524847,50887423,760732716265.9829,670644030583.1981,90088685682.78482
task3_maker_q99_win30,train,30,62,-0.06964367756812292,-0.019250380023800313,-1.6927545794044354,0.05039329754432261,21397897913.402237,True,585939162,14431467,1367859252550.1387,1326669670630.9387,41189581919.20002
task3_maker_q99_win30,train,120,62,0.055228486332410405,0.20333899494407978,-4.7152428445560215,0.14811050861166938,21397897913.402237,True,585939162,14431467,1367859252550.1387,1326669670630.9387,41189581919.20002
task3_maker_q99_win30,train,300,62,0.10659503900076729,0.25119244354860065,-4.550723198457284,0.14459740454783337,21397897913.402237,True,585939162,14431467,1367859252550.1387,1326669670630.9387,41189581919.20002
task3_maker_q99_win30,validation,30,28,-0.0464039506298896,-0.014463988265719669,-1.1869242458490843,0.03193996236416993,26428891619.957172,True,497237517,10174753,760732716265.9829,740008965358.8008,20723750907.18215
task3_maker_q99_win30,validation,120,28,-0.03259769448034573,0.05903944979546241,-3.3048001363884127,0.09163714427580814,26428891619.957172,True,497237517,10174753,760732716265.9829,740008965358.8008,20723750907.18215
task3_maker_q99_win30,validation,300,28,0.024514989647874786,0.10312121691937504,-2.782376155419022,0.07860622727150025,26428891619.957172,True,497237517,10174753,760732716265.9829,740008965358.8008,20723750907.18215
task3_maker_q99_win60,train,30,62,-0.06964367756812292,-0.02306302565503038,-1.0497446627360225,0.04658065191309255,21061279628.796352,True,577730855,22639774,1367859252550.1387,1305799336985.3738,62059915564.76492
