strategy,horizon_s,days,pnl_all,pnl_kept,pnl_filtered,score,kept_turnover_per_day,constraint_ok,kept_trade_count,filtered_trade_count,all_clipped_turnover,kept_clipped_turnover,filtered_clipped_turnover
no_filter,30,90,-0.06133808360835863,-0.06133808360835863,,0.0,23651021875.734684,True,1107782899,0,2128591968816.1216,2128591968816.1216,0.0
no_filter,120,90,0.023840484278585643,0.023840484278585643,,0.0,23651021875.734684,True,1107782899,0,2128591968816.1216,2128591968816.1216,0.0
no_filter,300,90,0.07726063399960577,0.07726063399960577,,0.0,23651021875.734684,True,1107782899,0,2128591968816.1216,2128591968816.1216,0.0
task3_maker_q90_win30,30,90,-0.06133808360835863,-0.05580342465194212,-0.11012309819846784,0.005534658956416506,21241207318.5684,True,1009037846,98745053,2128591968816.1216,1911708658671.1562,216883310144.96527
task3_maker_q90_win30,120,90,0.023840484278585643,0.05137620458602437,-0.21887194435086002,0.027535720307438727,21241207318.5684,True,1009037846,98745053,2128591968816.1216,1911708658671.1562,216883310144.96527
task3_maker_q90_win30,300,90,0.07726063399960577,0.09364007869229385,-0.0671152805062528,0.01637944469268808,21241207318.5684,True,1009037846,98745053,2128591968816.1216,1911708658671.1562,216883310144.96527
task3_maker_q90_win60,30,90,-0.06133808360835863,-0.05799019798548559,-0.08095183154226587,0.0033478856228730397,20202621050.58316,True,960586159,147196740,2128591968816.1216,1818235894552.4844,310356074263.63727
task3_maker_q90_win60,120,90,0.023840484278585643,0.03294511380661858,-0.029499422967468464,0.00910462952803294,20202621050.58316,True,960586159,147196740,2128591968816.1216,1818235894552.4844,310356074263.63727
task3_maker_q90_win60,300,90,0.07726063399960577,0.08606019044043213,0.025708012015929784,0.008799556440826362,20202621050.58316,True,960586159,147196740,2128591968816.1216,1818235894552.4844,310356074263.63727
task3_maker_q95_win30,30,90,-0.06133808360835863,-0.021512152972498304,-0.557945498180147,0.039825930635860325,21895120671.782467,True,1038558142,69224757,2128591968816.1216,1970560860460.422,158031108355.69946
task3_maker_q95_win30,120,90,0.023840484278585643,0.141061749256071,-1.4378441117591279,0.11722126497748536,21895120671.782467,True,1038558142,69224757,2128591968816.1216,1970560860460.422,158031108355.69946
task3_maker_q95_win30,300,90,0.07726063399960577,0.19218120023994978,-1.3557355162612352,0.11492056624034401,21895120671.782467,True,1038558142,69224757,2128591968816.1216,1970560860460.422,158031108355.69946
task3_maker_q95_win60,30,90,-0.06133808360835863,-0.020110733352519027,-0.3978924895269369,0.0412273502558396,21069984155.296806,True,1001620075,106162824,2128591968816.1216,1896298573976.7124,232293394839.40924
task3_maker_q95_win60,120,90,0.023840484278585643,0.135003550010733,-0.8836255380440948,0.11116306573214735,21069984155.296806,True,1001620075,106162824,2128591968816.1216,1896298573976.7124,232293394839.40924
task3_maker_q95_win60,300,90,0.07726063399960577,0.17880951192251418,-0.7517211479717374,0.10154887792290841,21069984155.296806,True,1001620075,106162824,2128591968816.1216,1896298573976.7124,232293394839.40924
task3_maker_q99_win30,30,90,-0.06133808360835863,-0.017536532137138978,-1.5234420685871994,0.043801551471219655,22963095955.44155,True,1083176679,24606220,2128591968816.1216,2066678635989.7395,61913332826.38217
task3_maker_q99_win30,120,90,0.023840484278585643,0.1516701213961442,-4.243136724297838,0.12782963711755854,22963095955.44155,True,1083176679,24606220,2128591968816.1216,2066678635989.7395,61913332826.38217
task3_maker_q99_win30,300,90,0.07726063399960577,0.19817305615612085,-3.958818644713711,0.12091242215651508,22963095955.44155,True,1083176679,24606220,2128591968816.1216,2066678635989.7395,61913332826.38217
task3_maker_q99_win60,30,90,-0.06133808360835863,-0.018289050643528988,-0.9883725013289865,0.04304903296482964,22601469262.852787,True,1068450045,39332854,2128591968816.1216,2034132233656.7507,94459735159.37082
task3_maker_q99_win60,120,90,0.023840484278585643,0.14626366294835627,-2.6124672870564654,0.12242317866977062,22601469262.852787,True,1068450045,39332854,2128591968816.1216,2034132233656.7507,94459735159.37082
task3_maker_q99_win60,300,90,0.07726063399960577,0.18516752509957027,-2.2464478228343583,0.1079068910999645,22601469262.852787,True,1068450045,39332854,2128591968816.1216,2034132233656.7507,94459735159.37082
